epoch,train,val
1,3.46142089e-01,5.61858715e-02
2,6.77604588e-02,5.79051345e-02
3,5.63514123e-02,5.63706372e-02
4,5.52924189e-02,5.59449924e-02
5,5.37972833e-02,5.42805057e-02
6,5.28385097e-02,5.38136456e-02
7,5.25109211e-02,5.28127156e-02
8,5.18689122e-02,5.25213012e-02
9,5.14397926e-02,5.19226874e-02
10,5.10392005e-02,5.13985582e-02
11,5.06559735e-02,5.06162213e-02
12,5.03501531e-02,5.07603147e-02
13,5.00251201e-02,4.99031861e-02
14,4.98917980e-02,4.96595083e-02
15,4.96129570e-02,4.95102925e-02
16,4.95952746e-02,4.95697630e-02
17,4.94670385e-02,4.93200655e-02
18,4.93755650e-02,4.92826021e-02
19,4.93304277e-02,4.92550647e-02
20,4.93811212e-02,4.92432183e-02
21,4.94183012e-02,4.92433627e-02
22,4.92918256e-02,4.92551305e-02
23,4.93252428e-02,4.92520788e-02
24,4.93073549e-02,4.92390204e-02
25,4.92787531e-02,4.92282960e-02
26,4.94396346e-02,4.92266812e-02
27,4.92124727e-02,4.92272433e-02
28,4.90465526e-02,4.92238454e-02
29,4.92724886e-02,4.92678157e-02
30,4.92403726e-02,4.92827526e-02
31,4.92245556e-02,4.92269021e-02
32,4.93140650e-02,4.92263909e-02
33,4.93059706e-02,4.92209372e-02
34,4.93393952e-02,4.95035213e-02
35,4.92227090e-02,4.93673031e-02
36,4.91855371e-02,4.92462252e-02
37,4.92852144e-02,4.92818351e-02
38,4.92133748e-02,4.93109127e-02
39,4.93565106e-02,4.92828593e-02
40,4.94387796e-02,4.92212514e-02
41,4.93574262e-02,4.92539576e-02
42,4.92446876e-02,4.92224672e-02
43,4.91441428e-02,4.93326154e-02
44,4.92052923e-02,4.92434516e-02
45,4.92902573e-02,4.92170301e-02
46,4.92738792e-02,4.92422252e-02
47,4.92399251e-02,4.92151865e-02
48,4.93336420e-02,4.92174314e-02
49,4.93080581e-02,4.92334896e-02
50,4.93509506e-02,4.92320092e-02
51,4.91991617e-02,4.92411943e-02
52,4.92458525e-02,4.92204135e-02
53,4.93264261e-02,4.92127734e-02
54,4.92950003e-02,4.92341352e-02
55,4.91547829e-02,4.93619459e-02
56,4.93279156e-02,4.92288850e-02
57,4.93093710e-02,4.92267680e-02
