epoch,train,val
1,3.461421e-01,5.618587e-02
2,6.776046e-02,5.790513e-02
3,5.635141e-02,5.637064e-02
4,5.529242e-02,5.594499e-02
5,5.379728e-02,5.428051e-02
6,5.283851e-02,5.381365e-02
7,5.251092e-02,5.281272e-02
8,5.186891e-02,5.252130e-02
9,5.143979e-02,5.192269e-02
10,5.103920e-02,5.139856e-02
11,5.065597e-02,5.061622e-02
12,5.035015e-02,5.076031e-02
13,5.002512e-02,4.990319e-02
14,4.989180e-02,4.965951e-02
15,4.961296e-02,4.951029e-02
16,4.959527e-02,4.956976e-02
17,4.946704e-02,4.932007e-02
18,4.937557e-02,4.928260e-02
19,4.933043e-02,4.925506e-02
20,4.938112e-02,4.924322e-02
21,4.941830e-02,4.924336e-02
22,4.929183e-02,4.925513e-02
23,4.932524e-02,4.925208e-02
24,4.930735e-02,4.923902e-02
25,4.927875e-02,4.922830e-02
26,4.943963e-02,4.922668e-02
27,4.921247e-02,4.922724e-02
28,4.904655e-02,4.922385e-02
29,4.927249e-02,4.926782e-02
30,4.924037e-02,4.928275e-02
31,4.922456e-02,4.922690e-02
32,4.931407e-02,4.922639e-02
33,4.930597e-02,4.922094e-02
34,4.933940e-02,4.950352e-02
35,4.922271e-02,4.936730e-02
36,4.918554e-02,4.924623e-02
37,4.928521e-02,4.928184e-02
38,4.921337e-02,4.931091e-02
39,4.935651e-02,4.928286e-02
40,4.943878e-02,4.922125e-02
41,4.935743e-02,4.925396e-02
42,4.924469e-02,4.922247e-02
43,4.914414e-02,4.933262e-02
44,4.920529e-02,4.924345e-02
45,4.929026e-02,4.921703e-02
46,4.927388e-02,4.924223e-02
47,4.923993e-02,4.921519e-02
48,4.933364e-02,4.921743e-02
49,4.930806e-02,4.923349e-02
50,4.935095e-02,4.923201e-02
51,4.919916e-02,4.924119e-02
52,4.924585e-02,4.922041e-02
53,4.932643e-02,4.921277e-02
54,4.929500e-02,4.923414e-02
55,4.915478e-02,4.936195e-02
56,4.932792e-02,4.922889e-02
57,4.930937e-02,4.922677e-02
