0.000000 0.000000
0.000000 1.000000

0.040014 0.000000
0.040014 1.000000

0.100747 0.000000
0.100747 1.000000

0.182328 0.000000
0.182328 1.000000

0.279751 0.000000
0.279751 1.000000

0.375366 0.000000
0.375366 1.000000

0.447183 0.000000
0.447183 1.000000

0.485508 0.000000
0.485508 1.000000

0.500000 0.000000
0.500000 1.000000

0.505393 0.500000
0.505393 1.000000

0.521478 0.500000
0.521478 1.000000

0.561997 0.500000
0.561997 1.000000

0.637680 0.500000
0.637680 1.000000

0.737382 0.500000
0.737382 1.000000

0.845279 0.500000
0.845279 1.000000

0.940362 0.500000
0.940362 1.000000

1.000000 0.500000
1.000000 1.000000

0.000000 0.000000
0.500000 0.000000

0.000000 0.039364
0.500000 0.039364

0.000000 0.090254
0.500000 0.090254

0.000000 0.148918
0.500000 0.148918

0.000000 0.230988
0.500000 0.230988

0.000000 0.327884
0.500000 0.327884

0.000000 0.416171
0.500000 0.416171

0.000000 0.475055
0.500000 0.475055

0.000000 0.500000
1.000000 0.500000

0.000000 0.508992
1.000000 0.508992

0.000000 0.539308
1.000000 0.539308

0.000000 0.600506
1.000000 0.600506

0.000000 0.686374
1.000000 0.686374

0.000000 0.781926
1.000000 0.781926

0.000000 0.872982
1.000000 0.872982

0.000000 0.948611
1.000000 0.948611

0.000000 1.000000
1.000000 1.000000

