# arm=B_extrapolation c_split=3.0 warm_epochs=0 loss_denom=uniform; train=low-c only; eval later on high-c
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,5.741509e-01,4.672796e-01,6.691325e-03
64,2,5.007761e-01,7.352798e-01,8.100096e-03
64,3,6.091785e-01,5.685378e-01,6.684347e-03
64,4,4.507846e-01,4.354602e-01,6.250049e-03
64,5,4.059102e-01,4.766728e-01,7.177119e-03
64,6,4.500746e-01,4.776429e-01,7.189303e-03
64,7,4.386048e-01,4.429181e-01,6.678996e-03
64,8,4.002035e-01,4.315586e-01,6.216476e-03
64,9,3.933642e-01,4.360504e-01,6.112511e-03
64,10,3.881575e-01,4.443760e-01,6.130677e-03
64,11,3.958070e-01,4.458114e-01,6.116424e-03
64,12,3.907187e-01,4.430703e-01,6.105481e-03
64,13,3.883072e-01,4.423725e-01,6.094526e-03
64,14,3.938934e-01,4.379716e-01,6.079619e-03
64,15,3.879922e-01,4.357657e-01,6.051672e-03
64,16,3.864305e-01,4.359463e-01,6.024985e-03
64,17,3.844417e-01,4.375572e-01,5.978041e-03
64,18,3.729531e-01,4.343622e-01,5.974804e-03
64,19,3.806999e-01,4.323145e-01,5.990994e-03
64,20,3.781489e-01,4.321757e-01,5.987139e-03
64,21,3.844444e-01,4.321457e-01,5.985921e-03
64,22,3.756168e-01,4.321303e-01,5.987264e-03
64,23,3.766706e-01,4.327543e-01,6.005485e-03
64,24,3.710109e-01,4.305193e-01,6.044732e-03
64,25,3.656566e-01,4.297431e-01,6.048147e-03
64,26,3.676429e-01,4.274373e-01,6.066547e-03
64,27,3.790794e-01,4.249340e-01,6.097322e-03
64,28,3.740132e-01,4.245276e-01,6.161878e-03
64,29,3.723345e-01,4.238763e-01,6.070884e-03
64,30,3.674388e-01,4.254235e-01,6.027507e-03
64,31,3.668337e-01,4.219025e-01,6.061991e-03
64,32,3.720568e-01,4.217906e-01,6.039266e-03
