# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
1,4.991650e-01,4.982420e-01,5.930796e-02
2,4.946185e-01,4.916729e-01,5.882557e-02
3,4.863044e-01,4.834714e-01,5.814029e-02
4,4.770862e-01,4.745659e-01,5.721906e-02
5,4.682609e-01,4.662008e-01,5.603735e-02
6,4.597791e-01,4.611722e-01,5.495655e-02
7,4.554573e-01,4.596610e-01,5.436992e-02
8,4.542966e-01,4.588973e-01,5.422794e-02
9,4.540903e-01,4.580430e-01,5.417292e-02
10,4.529792e-01,4.571408e-01,5.407511e-02
11,4.523096e-01,4.564174e-01,5.395499e-02
12,4.510599e-01,4.555830e-01,5.388319e-02
13,4.504477e-01,4.547843e-01,5.378349e-02
14,4.501692e-01,4.540157e-01,5.374575e-02
15,4.487815e-01,4.532272e-01,5.367258e-02
16,4.478931e-01,4.522935e-01,5.364021e-02
17,4.475083e-01,4.514158e-01,5.362406e-02
18,4.465969e-01,4.506865e-01,5.361226e-02
19,4.458434e-01,4.496913e-01,5.362889e-02
20,4.452916e-01,4.487528e-01,5.360390e-02
21,4.448981e-01,4.477359e-01,5.357594e-02
22,4.437764e-01,4.467636e-01,5.357625e-02
23,4.429303e-01,4.456765e-01,5.347397e-02
24,4.414391e-01,4.443474e-01,5.355857e-02
25,4.406558e-01,4.432289e-01,5.339316e-02
26,4.398501e-01,4.419152e-01,5.339201e-02
27,4.388110e-01,4.404355e-01,5.333775e-02
28,4.377593e-01,4.390214e-01,5.311035e-02
29,4.353969e-01,4.371790e-01,5.304814e-02
30,4.346785e-01,4.354219e-01,5.292038e-02
31,4.330895e-01,4.331328e-01,5.282140e-02
32,4.306477e-01,4.306948e-01,5.253032e-02
33,4.294341e-01,4.293263e-01,5.254308e-02
34,4.275213e-01,4.264952e-01,5.194458e-02
35,4.256936e-01,4.244634e-01,5.203870e-02
36,4.247087e-01,4.231009e-01,5.173750e-02
37,4.234405e-01,4.216242e-01,5.177002e-02
38,4.222145e-01,4.201671e-01,5.151020e-02
39,4.217189e-01,4.189989e-01,5.139062e-02
40,4.201335e-01,4.178220e-01,5.128205e-02
41,4.192573e-01,4.172239e-01,5.116597e-02
42,4.186354e-01,4.161101e-01,5.129680e-02
43,4.186478e-01,4.155264e-01,5.114000e-02
44,4.173081e-01,4.150168e-01,5.120297e-02
45,4.172287e-01,4.149617e-01,5.106621e-02
46,4.172989e-01,4.138670e-01,5.122243e-02
47,4.162841e-01,4.138158e-01,5.110241e-02
48,4.156186e-01,4.134328e-01,5.100987e-02
49,4.159982e-01,4.130191e-01,5.111663e-02
50,4.156708e-01,4.128580e-01,5.102776e-02
51,4.145653e-01,4.127367e-01,5.088740e-02
52,4.147036e-01,4.126528e-01,5.095653e-02
53,4.142232e-01,4.124017e-01,5.096853e-02
54,4.146967e-01,4.122414e-01,5.105671e-02
55,4.146908e-01,4.120273e-01,5.096644e-02
56,4.143486e-01,4.119887e-01,5.096992e-02
57,4.140871e-01,4.121197e-01,5.092593e-02
58,4.144103e-01,4.119772e-01,5.107319e-02
59,4.141254e-01,4.116306e-01,5.094866e-02
60,4.149660e-01,4.115967e-01,5.084360e-02
61,4.136806e-01,4.114568e-01,5.092041e-02
62,4.140778e-01,4.114103e-01,5.089459e-02
63,4.138834e-01,4.113467e-01,5.090692e-02
64,4.134492e-01,4.112500e-01,5.096571e-02
65,4.134067e-01,4.113597e-01,5.092606e-02
66,4.139702e-01,4.112027e-01,5.090274e-02
67,4.135748e-01,4.112025e-01,5.085167e-02
68,4.136335e-01,4.111003e-01,5.083997e-02
69,4.136624e-01,4.110833e-01,5.092416e-02
70,4.136143e-01,4.110233e-01,5.086191e-02
71,4.131317e-01,4.109806e-01,5.085633e-02
72,4.134460e-01,4.109232e-01,5.089446e-02
73,4.127704e-01,4.109203e-01,5.090549e-02
74,4.129879e-01,4.109256e-01,5.088688e-02
75,4.131484e-01,4.108966e-01,5.087040e-02
76,4.140494e-01,4.108330e-01,5.087726e-02
77,4.135099e-01,4.108696e-01,5.085538e-02
78,4.130325e-01,4.107416e-01,5.089934e-02
79,4.130921e-01,4.107746e-01,5.085490e-02
80,4.138341e-01,4.107229e-01,5.089861e-02
81,4.125008e-01,4.107161e-01,5.091283e-02
82,4.132492e-01,4.106638e-01,5.092495e-02
83,4.130846e-01,4.106411e-01,5.091253e-02
84,4.122181e-01,4.106539e-01,5.088003e-02
85,4.129485e-01,4.106446e-01,5.082945e-02
86,4.128549e-01,4.106752e-01,5.090095e-02
87,4.129926e-01,4.106311e-01,5.091883e-02
88,4.130640e-01,4.106067e-01,5.092643e-02
89,4.131708e-01,4.105651e-01,5.091705e-02
90,4.133533e-01,4.105481e-01,5.090689e-02
91,4.128589e-01,4.105486e-01,5.090358e-02
92,4.127083e-01,4.105205e-01,5.084541e-02
93,4.128421e-01,4.105175e-01,5.088759e-02
94,4.123674e-01,4.105189e-01,5.089985e-02
95,4.125956e-01,4.105044e-01,5.084461e-02
96,4.127361e-01,4.104661e-01,5.090716e-02
97,4.128010e-01,4.104639e-01,5.091837e-02
98,4.131374e-01,4.104834e-01,5.095229e-02
99,4.129831e-01,4.104500e-01,5.093176e-02
100,4.127467e-01,4.104198e-01,5.089454e-02
101,4.125455e-01,4.104207e-01,5.087994e-02
102,4.124659e-01,4.104052e-01,5.089772e-02
103,4.131110e-01,4.104077e-01,5.088944e-02
104,3.862905e-01,3.893766e-01,2.839013e-02
105,3.606385e-01,3.646875e-01,2.688490e-02
106,3.417970e-01,3.470104e-01,2.642838e-02
107,3.246842e-01,3.313434e-01,2.574437e-02
108,3.089436e-01,3.143797e-01,2.500042e-02
109,2.940624e-01,2.993843e-01,2.429926e-02
110,2.783837e-01,2.848383e-01,2.339330e-02
111,2.642973e-01,2.718110e-01,2.255323e-02
112,2.515377e-01,2.585047e-01,2.171748e-02
113,2.372779e-01,2.444429e-01,2.103013e-02
114,2.242971e-01,2.306968e-01,2.020484e-02
115,2.126775e-01,2.187221e-01,1.955849e-02
116,2.022568e-01,2.072847e-01,1.894792e-02
117,1.931016e-01,1.984613e-01,1.844973e-02
118,1.868257e-01,1.926581e-01,1.806617e-02
119,1.824639e-01,1.870652e-01,1.782205e-02
120,1.786850e-01,1.835829e-01,1.769325e-02
121,1.757227e-01,1.817745e-01,1.767399e-02
122,1.740459e-01,1.793557e-01,1.753359e-02
123,1.727949e-01,1.779052e-01,1.753492e-02
124,1.719311e-01,1.768677e-01,1.754261e-02
125,1.705104e-01,1.760002e-01,1.754729e-02
126,1.700918e-01,1.751044e-01,1.751942e-02
127,1.695835e-01,1.747595e-01,1.751136e-02
128,1.690361e-01,1.739677e-01,1.749410e-02
129,1.691440e-01,1.735523e-01,1.744064e-02
130,1.684689e-01,1.732702e-01,1.745726e-02
131,1.679261e-01,1.727151e-01,1.742258e-02
132,1.679837e-01,1.724812e-01,1.745144e-02
133,1.673228e-01,1.719816e-01,1.739245e-02
134,1.668239e-01,1.716838e-01,1.740809e-02
135,1.668875e-01,1.713402e-01,1.737876e-02
136,1.664463e-01,1.710623e-01,1.736307e-02
137,1.664034e-01,1.709511e-01,1.735838e-02
