# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
1,5.027786e-01,5.011905e-01,5.913977e-02
2,4.966054e-01,4.926091e-01,5.864978e-02
3,4.876066e-01,4.847244e-01,5.812414e-02
4,4.793194e-01,4.776486e-01,5.751197e-02
5,4.715700e-01,4.709427e-01,5.671138e-02
6,4.653656e-01,4.651638e-01,5.577322e-02
7,4.590500e-01,4.614942e-01,5.480033e-02
8,4.556897e-01,4.596339e-01,5.432742e-02
9,4.535579e-01,4.586341e-01,5.417305e-02
10,4.523867e-01,4.576132e-01,5.419980e-02
11,4.519619e-01,4.567394e-01,5.430765e-02
12,4.517920e-01,4.559179e-01,5.425175e-02
13,4.507688e-01,4.551542e-01,5.428310e-02
14,4.499110e-01,4.543474e-01,5.429228e-02
15,4.498492e-01,4.534818e-01,5.438735e-02
16,4.486093e-01,4.525020e-01,5.435858e-02
17,4.477132e-01,4.515655e-01,5.438335e-02
18,4.472169e-01,4.501881e-01,5.445607e-02
19,4.458680e-01,4.487854e-01,5.441299e-02
20,4.449982e-01,4.472037e-01,5.437912e-02
21,4.440965e-01,4.453787e-01,5.437463e-02
22,4.425956e-01,4.431877e-01,5.425448e-02
23,4.406122e-01,4.408319e-01,5.425706e-02
24,4.389938e-01,4.392184e-01,5.396118e-02
25,4.371742e-01,4.364053e-01,5.391925e-02
26,4.353204e-01,4.341593e-01,5.359595e-02
27,4.331475e-01,4.319012e-01,5.343893e-02
28,4.314814e-01,4.294399e-01,5.328929e-02
29,4.295318e-01,4.274305e-01,5.300988e-02
30,4.273605e-01,4.254125e-01,5.262661e-02
31,4.264485e-01,4.235567e-01,5.237555e-02
32,4.241971e-01,4.215105e-01,5.231843e-02
33,4.227009e-01,4.199274e-01,5.212847e-02
34,4.207282e-01,4.184212e-01,5.195932e-02
35,4.203738e-01,4.172169e-01,5.178351e-02
36,4.190083e-01,4.166346e-01,5.179945e-02
37,4.177335e-01,4.156551e-01,5.161110e-02
38,4.174637e-01,4.148009e-01,5.159214e-02
39,4.163045e-01,4.146038e-01,5.141896e-02
40,4.166690e-01,4.140148e-01,5.171746e-02
41,4.160798e-01,4.134251e-01,5.153677e-02
42,4.157815e-01,4.136173e-01,5.138638e-02
43,4.155402e-01,4.130533e-01,5.136160e-02
44,4.154163e-01,4.127973e-01,5.137493e-02
45,4.150299e-01,4.128663e-01,5.116003e-02
46,4.151077e-01,4.126616e-01,5.131567e-02
47,4.147397e-01,4.125728e-01,5.137599e-02
48,4.146272e-01,4.124842e-01,5.130162e-02
49,4.143462e-01,4.125256e-01,5.115345e-02
50,4.146527e-01,4.121480e-01,5.145760e-02
51,4.145865e-01,4.121047e-01,5.130247e-02
52,4.143332e-01,4.121085e-01,5.137415e-02
53,4.146724e-01,4.119965e-01,5.122869e-02
54,4.142479e-01,4.119945e-01,5.138877e-02
55,4.140557e-01,4.117820e-01,5.132733e-02
56,4.138028e-01,4.117527e-01,5.138751e-02
57,4.144751e-01,4.116454e-01,5.140272e-02
58,4.137578e-01,4.116653e-01,5.130695e-02
59,4.138371e-01,4.116504e-01,5.138439e-02
60,4.138902e-01,4.115833e-01,5.143760e-02
61,4.141863e-01,4.114955e-01,5.140062e-02
62,4.135036e-01,4.114480e-01,5.125328e-02
