iteration,train_loss,val_eta2
1,2.896021e-01,1.687244e-01
2,1.679028e-01,1.677084e-01
3,1.591272e-01,1.598955e-01
4,1.567196e-01,1.602985e-01
5,1.552972e-01,1.551582e-01
6,1.528016e-01,1.524921e-01
7,1.507481e-01,1.505504e-01
8,1.500024e-01,1.494552e-01
9,1.486832e-01,1.487706e-01
10,1.484236e-01,1.486350e-01
11,1.486110e-01,1.486313e-01
12,1.480017e-01,1.485857e-01
13,1.487742e-01,1.485773e-01
14,1.477742e-01,1.486211e-01
15,1.485472e-01,1.486324e-01
16,1.482653e-01,1.485888e-01
17,1.485222e-01,1.485623e-01
18,1.485032e-01,1.486186e-01
19,1.483936e-01,1.486267e-01
20,1.482105e-01,1.485526e-01
21,1.486778e-01,1.485585e-01
22,1.482711e-01,1.486306e-01
23,1.483015e-01,1.485373e-01
24,1.483095e-01,1.485580e-01
25,1.486087e-01,1.485317e-01
26,1.480297e-01,1.485812e-01
27,1.481527e-01,1.489410e-01
28,1.483208e-01,1.485930e-01
29,1.486574e-01,1.485351e-01
30,1.484498e-01,1.485216e-01
31,1.483462e-01,1.484965e-01
32,1.485948e-01,1.485270e-01
33,1.482159e-01,1.486764e-01
34,1.475856e-01,1.484904e-01
35,1.482202e-01,1.485687e-01
36,1.484023e-01,1.485200e-01
37,1.481137e-01,1.486542e-01
38,1.484677e-01,1.484778e-01
39,1.488050e-01,1.484707e-01
40,1.478466e-01,1.484784e-01
41,1.483011e-01,1.484663e-01
42,1.483525e-01,1.485033e-01
43,1.479925e-01,1.484654e-01
44,1.475273e-01,1.484571e-01
45,1.478507e-01,1.485067e-01
46,1.480341e-01,1.485482e-01
47,1.483606e-01,1.484811e-01
48,1.482715e-01,1.484494e-01
49,1.485846e-01,1.484577e-01
50,8.587215e-02,6.418094e-02
51,5.700781e-02,5.818540e-02
52,5.397814e-02,5.541877e-02
53,5.358764e-02,5.449250e-02
54,5.232662e-02,5.394002e-02
55,5.226736e-02,5.349355e-02
56,5.180047e-02,5.324766e-02
57,5.182792e-02,5.308949e-02
58,5.184019e-02,5.300625e-02
59,5.140579e-02,5.294984e-02
60,5.161136e-02,5.285395e-02
61,5.165817e-02,5.281514e-02
62,5.150164e-02,5.279237e-02
63,5.131021e-02,5.278644e-02
64,5.151554e-02,5.281247e-02
65,5.168243e-02,5.273831e-02
66,5.161394e-02,5.273577e-02
67,5.165458e-02,5.274688e-02
68,5.148548e-02,5.277718e-02
69,5.155373e-02,5.271301e-02
70,5.150341e-02,5.270363e-02
71,5.125467e-02,5.269969e-02
72,5.147585e-02,5.269673e-02
73,5.140152e-02,5.271289e-02
74,5.133430e-02,5.275447e-02
75,5.154679e-02,5.268620e-02
76,5.174499e-02,5.268563e-02
77,5.150640e-02,5.268003e-02
78,5.118154e-02,5.267751e-02
79,5.160292e-02,5.270852e-02
80,5.130648e-02,5.267183e-02
81,5.156910e-02,5.267925e-02
82,5.125978e-02,5.268151e-02
83,5.125927e-02,5.267346e-02
84,5.136721e-02,5.267283e-02
85,5.131916e-02,5.266287e-02
86,5.122871e-02,5.267847e-02
87,5.134023e-02,5.267047e-02
88,5.146336e-02,5.269124e-02
89,5.129302e-02,5.266539e-02
90,5.128419e-02,5.269171e-02
91,5.123189e-02,5.265887e-02
92,5.107540e-02,5.266930e-02
93,5.121945e-02,5.265208e-02
94,5.159190e-02,5.265107e-02
95,5.137290e-02,5.265144e-02
96,5.148694e-02,5.265610e-02
97,5.159616e-02,5.265145e-02
98,5.144206e-02,5.264911e-02
99,5.139334e-02,5.265952e-02
100,5.118613e-02,5.265120e-02
101,5.122434e-02,5.265562e-02
102,5.131016e-02,5.264702e-02
103,5.133250e-02,5.264656e-02
104,5.115442e-02,5.264708e-02
105,5.124821e-02,5.264404e-02
106,5.142427e-02,5.264617e-02
107,5.149353e-02,5.264857e-02
108,5.128126e-02,5.264357e-02
109,5.125102e-02,5.264986e-02
110,2.229674e-02,2.194379e-02
111,1.997040e-02,2.072829e-02
112,1.952057e-02,2.058020e-02
113,1.943224e-02,2.052810e-02
114,1.941158e-02,2.049428e-02
115,1.940693e-02,2.047034e-02
116,1.938662e-02,2.045189e-02
117,1.928491e-02,2.043622e-02
118,1.929648e-02,2.042465e-02
119,1.931553e-02,2.041386e-02
120,1.935844e-02,2.040572e-02
121,1.932831e-02,2.039093e-02
122,1.925489e-02,2.038596e-02
123,1.928535e-02,2.037679e-02
124,1.922587e-02,2.037086e-02
125,1.925572e-02,2.036747e-02
126,1.937733e-02,2.036169e-02
127,1.914197e-02,2.036190e-02
128,1.923904e-02,2.035536e-02
129,1.928226e-02,2.035320e-02
130,1.924874e-02,2.034739e-02
131,1.923087e-02,2.034430e-02
132,1.916775e-02,2.033795e-02
133,1.913389e-02,2.033414e-02
134,1.927319e-02,2.035289e-02
135,1.918867e-02,2.033104e-02
136,1.926004e-02,2.033162e-02
137,1.936569e-02,2.032815e-02
138,1.922219e-02,2.032713e-02
139,1.915877e-02,2.032113e-02
140,1.918006e-02,2.032148e-02
141,1.910461e-02,2.032026e-02
142,1.922215e-02,2.031357e-02
143,1.908061e-02,2.031579e-02
144,1.917190e-02,2.031170e-02
145,1.913842e-02,2.031185e-02
146,1.919537e-02,2.030823e-02
147,1.912966e-02,2.031311e-02
148,1.920637e-02,2.030335e-02
149,1.916061e-02,2.030256e-02
150,1.918003e-02,2.031412e-02
151,1.916750e-02,2.030404e-02
152,1.929096e-02,2.029781e-02
153,1.907690e-02,2.029802e-02
154,1.930971e-02,2.029968e-02
155,8.429656e-03,8.903956e-03
156,8.103781e-03,8.654297e-03
157,7.899857e-03,8.558583e-03
158,7.877207e-03,8.514747e-03
159,7.774453e-03,8.487179e-03
160,7.751510e-03,8.437995e-03
161,7.757161e-03,8.418547e-03
162,7.712217e-03,8.370372e-03
163,7.653052e-03,8.349728e-03
164,7.660864e-03,8.324876e-03
165,7.610343e-03,8.303070e-03
166,7.635404e-03,8.288401e-03
167,7.523200e-03,8.277020e-03
168,7.579241e-03,8.278927e-03
169,7.632488e-03,8.281205e-03
170,7.549160e-03,8.245787e-03
171,7.528800e-03,8.252249e-03
172,7.560004e-03,8.237691e-03
173,7.546218e-03,8.239647e-03
174,7.549891e-03,8.230164e-03
175,7.540544e-03,8.226684e-03
176,7.628319e-03,8.229007e-03
177,7.568329e-03,8.262996e-03
178,7.539758e-03,8.224271e-03
179,7.569015e-03,8.222903e-03
180,7.480153e-03,8.221793e-03
181,7.510204e-03,8.216733e-03
182,7.519903e-03,8.235361e-03
183,7.535971e-03,8.213009e-03
184,7.537997e-03,8.214301e-03
185,7.513786e-03,8.220206e-03
186,7.614619e-03,8.228678e-03
187,7.514795e-03,8.219304e-03
188,7.491512e-03,8.211131e-03
189,7.538882e-03,8.207696e-03
190,7.485555e-03,8.209220e-03
191,7.545162e-03,8.205817e-03
192,7.458840e-03,8.207698e-03
193,7.584566e-03,8.210735e-03
194,7.521754e-03,8.205908e-03
195,7.588231e-03,8.218334e-03
196,7.546933e-03,8.206689e-03
197,7.518691e-03,8.204507e-03
198,7.543991e-03,8.203540e-03
199,7.571271e-03,8.207577e-03
200,7.514501e-03,8.206304e-03
201,7.548314e-03,8.209053e-03
202,7.519057e-03,8.200674e-03
203,7.521142e-03,8.199950e-03
204,7.510715e-03,8.199428e-03
205,7.526038e-03,8.199052e-03
206,7.584150e-03,8.199241e-03
207,7.591830e-03,8.200983e-03
208,7.447437e-03,8.203160e-03
209,7.534008e-03,8.204754e-03
210,7.499447e-03,8.198552e-03
211,3.385005e-03,3.639281e-03
212,3.273827e-03,3.586431e-03
213,3.226011e-03,3.544120e-03
214,3.171163e-03,3.525913e-03
215,3.143605e-03,3.509981e-03
216,3.138055e-03,3.498632e-03
217,3.120423e-03,3.490571e-03
218,3.103761e-03,3.494953e-03
219,3.103505e-03,3.477816e-03
220,3.097095e-03,3.484175e-03
221,3.116228e-03,3.475638e-03
222,3.128872e-03,3.466290e-03
223,3.098547e-03,3.463670e-03
224,3.069079e-03,3.461592e-03
225,3.089892e-03,3.463181e-03
226,3.078321e-03,3.457240e-03
227,3.104320e-03,3.477721e-03
228,3.085925e-03,3.467678e-03
229,3.053068e-03,3.455004e-03
230,3.079944e-03,3.459773e-03
231,3.057821e-03,3.452206e-03
232,3.098845e-03,3.449650e-03
233,3.099473e-03,3.448673e-03
234,3.097374e-03,3.460005e-03
235,3.086338e-03,3.465936e-03
236,3.097756e-03,3.448704e-03
237,3.084960e-03,3.447390e-03
238,3.064222e-03,3.450281e-03
239,3.081966e-03,3.448845e-03
240,3.091709e-03,3.445236e-03
241,3.070554e-03,3.449453e-03
242,3.058959e-03,3.444866e-03
243,3.079724e-03,3.445016e-03
244,3.067081e-03,3.443514e-03
245,3.076232e-03,3.445094e-03
246,3.080945e-03,3.443308e-03
247,3.078961e-03,3.442628e-03
248,3.079997e-03,3.442324e-03
249,3.063756e-03,3.442855e-03
250,3.074115e-03,3.448450e-03
251,3.071893e-03,3.444699e-03
252,3.090719e-03,3.442366e-03
253,3.059303e-03,3.441746e-03
254,3.084826e-03,3.442748e-03
255,3.056562e-03,3.441590e-03
256,3.044906e-03,3.440647e-03
257,3.041127e-03,3.440521e-03
258,3.050960e-03,3.441725e-03
259,3.060367e-03,3.441122e-03
260,3.070955e-03,3.440379e-03
261,3.080071e-03,3.440224e-03
262,3.059960e-03,3.440391e-03
263,3.069160e-03,3.442629e-03
264,3.055639e-03,3.439468e-03
265,1.323425e-03,1.448224e-03
266,1.236665e-03,1.422426e-03
267,1.214575e-03,1.415915e-03
268,1.236384e-03,1.413927e-03
269,1.223624e-03,1.413654e-03
270,1.220721e-03,1.412585e-03
271,1.218374e-03,1.411847e-03
272,1.215161e-03,1.411686e-03
273,1.229053e-03,1.410811e-03
274,1.229345e-03,1.410310e-03
275,1.219979e-03,1.409944e-03
276,1.212336e-03,1.409989e-03
277,1.216006e-03,1.409635e-03
278,1.233371e-03,1.409639e-03
279,1.208106e-03,1.409220e-03
280,1.217256e-03,1.409549e-03
