iteration,train_loss,val_eta2
1,3.693221e-01,1.892380e-01
2,1.748350e-01,1.680145e-01
3,1.613619e-01,1.644088e-01
4,1.607879e-01,1.633584e-01
5,1.585807e-01,1.601692e-01
6,1.562698e-01,1.589832e-01
7,1.555423e-01,1.564186e-01
8,1.540669e-01,1.557340e-01
9,1.532336e-01,1.537378e-01
10,1.515702e-01,1.523420e-01
11,1.505667e-01,1.515143e-01
12,1.498240e-01,1.504581e-01
13,1.494069e-01,1.496287e-01
14,1.492895e-01,1.501766e-01
15,1.490033e-01,1.489666e-01
16,1.489570e-01,1.488207e-01
17,1.485121e-01,1.487546e-01
18,1.484629e-01,1.486872e-01
19,1.484444e-01,1.486235e-01
20,1.486136e-01,1.487526e-01
21,1.489073e-01,1.488388e-01
22,1.483142e-01,1.486133e-01
23,1.485710e-01,1.486068e-01
24,1.484495e-01,1.486041e-01
25,1.483704e-01,1.485998e-01
26,1.489716e-01,1.485991e-01
27,1.481140e-01,1.486007e-01
28,1.475250e-01,1.485903e-01
29,1.483212e-01,1.486561e-01
30,1.482299e-01,1.486901e-01
31,1.481567e-01,1.485955e-01
32,1.484835e-01,1.485887e-01
33,1.484445e-01,1.485813e-01
34,1.484803e-01,1.490385e-01
35,1.478968e-01,1.487855e-01
36,1.479132e-01,1.486443e-01
37,1.483842e-01,1.487101e-01
38,1.481001e-01,1.486958e-01
39,1.485063e-01,1.486964e-01
40,1.488805e-01,1.485618e-01
41,1.485401e-01,1.486019e-01
42,1.482086e-01,1.485600e-01
43,1.478878e-01,1.487478e-01
44,1.479957e-01,1.485915e-01
45,1.483342e-01,1.485562e-01
46,1.483269e-01,1.485974e-01
47,1.481748e-01,1.485475e-01
48,1.485461e-01,1.485560e-01
49,1.484461e-01,1.485610e-01
50,1.485348e-01,1.485426e-01
51,1.479956e-01,1.485462e-01
52,1.482379e-01,1.485462e-01
53,1.485182e-01,1.485389e-01
54,8.373712e-02,6.366982e-02
55,5.769612e-02,5.674346e-02
56,5.393775e-02,5.459273e-02
57,5.255761e-02,5.397020e-02
58,5.234215e-02,5.357691e-02
59,5.178932e-02,5.333626e-02
60,5.191123e-02,5.320285e-02
61,5.175075e-02,5.304084e-02
62,5.172918e-02,5.295795e-02
63,5.143717e-02,5.297098e-02
64,5.137098e-02,5.285416e-02
65,5.145845e-02,5.286947e-02
66,5.140316e-02,5.281524e-02
67,5.163778e-02,5.279707e-02
68,5.156651e-02,5.279377e-02
69,5.135997e-02,5.281649e-02
70,5.156519e-02,5.277037e-02
71,5.162745e-02,5.278336e-02
72,5.160327e-02,5.275277e-02
73,5.158054e-02,5.274450e-02
74,5.127208e-02,5.275411e-02
75,5.156023e-02,5.275931e-02
76,5.156362e-02,5.273279e-02
77,5.117571e-02,5.273709e-02
78,5.143948e-02,5.272941e-02
79,5.162285e-02,5.271885e-02
80,5.148897e-02,5.273822e-02
81,5.113704e-02,5.271386e-02
82,5.118877e-02,5.271642e-02
83,5.129279e-02,5.270900e-02
84,5.148543e-02,5.270903e-02
85,5.115893e-02,5.268837e-02
86,5.132792e-02,5.269149e-02
87,5.153953e-02,5.268035e-02
88,5.137852e-02,5.268851e-02
89,5.144666e-02,5.268050e-02
90,5.137583e-02,5.268460e-02
91,5.131454e-02,5.268693e-02
92,5.149014e-02,5.267723e-02
93,5.125070e-02,5.266271e-02
94,5.143263e-02,5.267058e-02
95,5.117912e-02,5.266520e-02
96,5.134209e-02,5.265757e-02
97,5.120019e-02,5.266540e-02
98,5.155097e-02,5.265353e-02
99,5.151727e-02,5.265909e-02
100,5.144840e-02,5.264810e-02
101,5.139585e-02,5.265628e-02
102,5.116752e-02,5.264539e-02
103,5.133378e-02,5.264496e-02
104,5.115718e-02,5.265075e-02
105,5.101241e-02,5.264752e-02
106,5.161929e-02,5.264283e-02
107,5.126834e-02,5.264345e-02
108,2.235190e-02,2.159834e-02
109,2.015417e-02,2.086848e-02
110,1.968981e-02,2.072146e-02
111,1.966770e-02,2.063761e-02
112,1.951399e-02,2.058066e-02
113,1.938411e-02,2.050813e-02
114,1.931662e-02,2.046572e-02
115,1.929496e-02,2.043678e-02
116,1.916874e-02,2.041360e-02
117,1.919278e-02,2.040694e-02
118,1.927743e-02,2.038164e-02
119,1.918292e-02,2.036841e-02
120,1.924323e-02,2.036295e-02
121,1.932288e-02,2.034744e-02
122,1.923550e-02,2.034058e-02
123,1.912395e-02,2.033553e-02
124,1.924392e-02,2.032351e-02
125,1.923382e-02,2.032484e-02
126,1.924896e-02,2.033525e-02
127,1.921506e-02,2.032370e-02
128,1.923007e-02,2.030773e-02
129,1.907341e-02,2.030703e-02
130,1.909394e-02,2.030606e-02
131,1.931367e-02,2.029793e-02
132,1.923643e-02,2.029684e-02
133,1.910249e-02,2.030251e-02
134,1.920063e-02,2.029787e-02
135,1.933071e-02,2.029483e-02
136,1.928177e-02,2.029435e-02
137,1.920492e-02,2.029515e-02
138,1.904772e-02,2.030101e-02
139,1.914458e-02,2.030743e-02
140,1.931484e-02,2.028887e-02
141,1.925550e-02,2.028923e-02
142,1.916977e-02,2.028516e-02
143,1.918209e-02,2.028261e-02
144,1.920109e-02,2.028269e-02
145,1.931762e-02,2.028226e-02
146,1.930097e-02,2.028232e-02
147,1.920427e-02,2.028545e-02
148,1.931755e-02,2.028330e-02
149,1.917058e-02,2.028274e-02
150,1.924176e-02,2.031309e-02
151,1.916712e-02,2.028176e-02
152,1.913927e-02,2.028206e-02
153,1.939401e-02,2.027856e-02
154,1.934057e-02,2.027818e-02
155,1.912926e-02,2.027982e-02
156,1.928049e-02,2.029016e-02
157,8.478814e-03,8.783023e-03
158,7.990536e-03,8.582359e-03
159,7.837207e-03,8.528170e-03
160,7.836536e-03,8.471158e-03
161,7.715376e-03,8.421238e-03
162,7.714264e-03,8.386138e-03
163,7.647141e-03,8.353112e-03
164,7.659146e-03,8.328585e-03
165,7.583478e-03,8.304093e-03
166,7.573725e-03,8.284749e-03
167,7.612632e-03,8.269706e-03
168,7.564029e-03,8.258396e-03
169,7.609455e-03,8.249586e-03
170,7.515990e-03,8.243018e-03
171,7.588472e-03,8.237417e-03
172,7.508301e-03,8.238628e-03
173,7.536037e-03,8.231823e-03
174,7.537010e-03,8.226557e-03
175,7.555016e-03,8.248735e-03
176,7.495900e-03,8.220383e-03
177,7.533692e-03,8.219884e-03
178,7.571050e-03,8.218499e-03
179,7.556291e-03,8.216003e-03
180,7.551193e-03,8.222471e-03
181,7.510711e-03,8.217567e-03
182,7.532170e-03,8.214886e-03
183,7.522572e-03,8.211376e-03
184,7.530399e-03,8.210466e-03
185,7.508068e-03,8.211528e-03
186,7.525232e-03,8.210148e-03
187,7.489365e-03,8.212943e-03
188,7.568311e-03,8.242267e-03
189,7.505598e-03,8.219246e-03
190,7.512386e-03,8.208865e-03
191,7.568635e-03,8.208079e-03
192,7.494297e-03,8.202192e-03
193,7.517347e-03,8.204546e-03
194,7.493185e-03,8.218925e-03
195,7.546539e-03,8.204933e-03
196,7.491204e-03,8.212962e-03
197,7.511360e-03,8.216287e-03
198,7.536292e-03,8.204963e-03
199,7.611456e-03,8.206853e-03
200,7.495745e-03,8.205116e-03
201,7.513857e-03,8.199363e-03
202,7.549073e-03,8.198138e-03
203,7.519425e-03,8.196938e-03
204,7.474250e-03,8.197541e-03
205,7.506460e-03,8.197791e-03
206,7.515135e-03,8.198109e-03
207,7.577007e-03,8.195860e-03
208,7.536349e-03,8.199320e-03
209,7.475767e-03,8.194317e-03
210,7.495758e-03,8.194835e-03
211,7.496118e-03,8.199965e-03
212,7.453616e-03,8.194091e-03
213,7.519749e-03,8.192645e-03
214,7.554028e-03,8.192014e-03
215,7.489035e-03,8.198969e-03
216,7.534750e-03,8.191188e-03
217,7.510742e-03,8.197193e-03
218,7.552204e-03,8.191882e-03
219,7.478742e-03,8.192671e-03
220,7.480072e-03,8.191152e-03
221,7.540023e-03,8.196706e-03
222,7.472570e-03,8.189947e-03
223,7.490612e-03,8.196195e-03
224,7.482159e-03,8.189989e-03
225,7.481974e-03,8.190757e-03
226,7.546384e-03,8.195035e-03
227,7.509051e-03,8.188713e-03
228,7.479774e-03,8.188863e-03
229,7.540255e-03,8.187614e-03
230,7.510612e-03,8.188635e-03
231,7.545574e-03,8.187956e-03
232,7.503445e-03,8.187017e-03
233,7.574025e-03,8.186549e-03
234,7.477295e-03,8.187790e-03
235,7.493188e-03,8.188378e-03
236,7.530477e-03,8.186611e-03
237,7.463887e-03,8.186333e-03
238,7.521954e-03,8.187016e-03
239,7.588557e-03,8.185315e-03
240,7.484679e-03,8.185961e-03
241,7.518064e-03,8.185025e-03
242,3.593528e-03,3.565870e-03
243,3.243803e-03,3.552202e-03
244,3.192073e-03,3.519918e-03
245,3.146135e-03,3.505695e-03
246,3.151037e-03,3.499897e-03
247,3.132440e-03,3.491368e-03
248,3.119245e-03,3.485089e-03
249,3.111383e-03,3.480353e-03
250,3.084840e-03,3.482096e-03
251,3.102395e-03,3.472629e-03
252,3.091037e-03,3.471248e-03
253,3.090564e-03,3.472491e-03
254,3.077492e-03,3.465763e-03
255,3.104774e-03,3.470718e-03
256,3.081962e-03,3.462201e-03
257,3.082350e-03,3.460661e-03
258,3.084858e-03,3.460073e-03
259,3.076801e-03,3.459490e-03
260,3.072646e-03,3.459047e-03
261,3.085040e-03,3.455260e-03
262,3.078992e-03,3.452868e-03
263,3.061081e-03,3.452281e-03
