# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u*_c (h1_rel, host)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,3.651744e-01,3.625879e-01,3.543880e-02
64,2,3.257483e-01,3.910870e-01,3.724840e-02
64,3,3.217424e-01,4.056861e-01,3.886034e-02
64,4,3.173021e-01,3.868020e-01,3.740094e-02
64,5,3.014661e-01,3.627637e-01,3.557949e-02
64,6,2.989425e-01,3.479164e-01,3.226120e-02
64,7,2.944956e-01,3.421136e-01,3.073024e-02
64,8,2.900739e-01,3.397553e-01,3.206098e-02
64,9,2.899328e-01,3.444408e-01,3.093156e-02
64,10,2.782356e-01,3.601628e-01,3.127562e-02
64,11,2.695445e-01,3.804847e-01,3.328383e-02
64,12,2.677018e-01,3.839430e-01,3.599606e-02
64,13,2.616228e-01,3.716328e-01,3.395195e-02
64,14,2.563087e-01,3.555472e-01,3.160659e-02
64,15,2.437248e-01,3.493673e-01,3.007773e-02
64,16,2.476961e-01,3.495040e-01,2.899321e-02
64,17,2.445377e-01,3.576917e-01,3.019878e-02
64,18,2.379086e-01,3.859790e-01,3.175153e-02
64,19,2.304164e-01,3.901542e-01,3.186548e-02
64,20,2.324915e-01,3.732484e-01,3.048398e-02
64,21,2.173330e-01,3.642931e-01,2.887096e-02
64,22,2.261307e-01,3.625669e-01,2.721012e-02
64,23,2.283662e-01,3.677477e-01,2.765387e-02
64,24,2.176980e-01,3.935691e-01,3.007695e-02
64,25,2.158370e-01,4.274838e-01,2.981287e-02
64,26,2.157881e-01,4.479041e-01,3.379526e-02
64,27,2.158143e-01,4.491376e-01,3.240764e-02
64,28,2.179128e-01,4.559133e-01,3.094171e-02
64,29,2.164076e-01,4.843697e-01,2.888105e-02
64,30,2.061380e-01,4.813897e-01,2.798129e-02
64,31,2.074273e-01,4.785482e-01,2.746799e-02
64,32,2.107889e-01,4.934126e-01,2.970694e-02
64,33,2.045693e-01,5.230207e-01,3.126634e-02
64,34,2.007797e-01,5.452959e-01,2.991204e-02
64,35,1.922897e-01,5.507799e-01,2.970003e-02
64,36,2.028981e-01,5.427642e-01,2.848921e-02
64,37,1.892956e-01,5.474303e-01,2.998513e-02
64,38,1.977832e-01,5.018533e-01,2.722927e-02
64,39,2.051491e-01,4.823896e-01,2.419851e-02
64,40,2.022760e-01,4.992945e-01,2.390902e-02
64,41,1.948147e-01,5.258274e-01,2.872870e-02
64,42,1.974821e-01,5.641157e-01,3.109884e-02
64,43,2.055641e-01,5.256216e-01,2.886656e-02
64,44,1.885016e-01,4.535160e-01,2.461509e-02
64,45,1.977730e-01,4.149594e-01,2.200153e-02
64,46,2.005220e-01,4.122527e-01,2.348120e-02
64,47,1.821824e-01,4.536608e-01,2.875853e-02
64,48,1.882634e-01,5.055743e-01,3.488802e-02
64,49,2.062465e-01,4.573273e-01,3.005975e-02
64,50,1.916690e-01,3.804431e-01,2.273721e-02
64,51,1.833093e-01,3.740172e-01,2.264722e-02
64,52,2.128936e-01,3.656346e-01,2.260045e-02
64,53,1.993516e-01,3.497836e-01,2.360162e-02
64,54,1.674069e-01,3.512846e-01,2.256948e-02
64,55,1.815653e-01,3.685185e-01,2.732261e-02
64,56,1.871707e-01,3.600032e-01,2.667599e-02
64,57,1.827852e-01,3.459436e-01,2.314758e-02
64,58,1.749773e-01,3.524670e-01,2.223502e-02
64,59,1.740983e-01,3.573344e-01,2.218182e-02
64,60,1.680046e-01,3.584505e-01,2.209028e-02
64,61,3.500998e-01,2.811530e-01,2.170958e-02
64,62,2.725259e-01,2.760639e-01,2.607321e-02
64,63,2.758186e-01,2.718969e-01,2.671407e-02
64,64,2.695009e-01,2.772288e-01,2.541274e-02
64,65,2.633848e-01,2.557310e-01,2.462099e-02
64,66,2.548263e-01,2.529673e-01,2.288735e-02
64,67,2.451962e-01,2.442287e-01,2.221481e-02
64,68,2.525815e-01,2.456145e-01,2.202266e-02
64,69,2.464689e-01,2.424673e-01,2.333537e-02
64,70,2.424389e-01,2.367603e-01,2.194141e-02
64,71,2.468319e-01,2.366026e-01,2.097986e-02
64,72,2.361993e-01,2.337274e-01,2.151724e-02
64,73,2.444921e-01,2.409821e-01,2.321766e-02
64,74,2.399454e-01,2.295993e-01,2.093835e-02
64,75,2.459805e-01,2.318191e-01,2.101484e-02
64,76,2.331082e-01,2.356132e-01,2.147102e-02
64,77,2.618110e-01,2.363523e-01,2.118946e-02
64,78,2.270313e-01,2.327015e-01,2.189457e-02
64,79,2.324172e-01,2.355212e-01,2.042534e-02
64,80,2.401042e-01,2.284581e-01,2.094599e-02
64,81,2.289686e-01,2.303316e-01,2.142558e-02
64,82,2.337066e-01,2.304535e-01,2.098573e-02
64,83,2.346361e-01,2.360922e-01,2.065028e-02
64,84,2.379459e-01,2.313068e-01,2.066089e-02
64,85,2.318070e-01,2.354231e-01,2.081625e-02
64,86,2.336608e-01,2.285877e-01,2.059059e-02
64,87,2.384036e-01,2.345570e-01,2.027231e-02
64,88,2.375310e-01,2.316430e-01,2.134738e-02
64,89,2.389916e-01,2.306336e-01,2.036675e-02
64,90,2.268525e-01,2.508807e-01,2.172320e-02
64,91,2.432834e-01,2.446518e-01,2.187933e-02
64,92,2.383551e-01,2.409719e-01,2.175851e-02
64,93,2.439714e-01,2.305049e-01,2.069313e-02
64,94,2.306714e-01,2.332358e-01,2.235876e-02
64,95,2.360065e-01,2.477402e-01,2.168950e-02
64,96,2.390422e-01,2.407653e-01,2.232736e-02
64,97,2.501481e-01,2.293178e-01,2.048132e-02
64,98,2.290772e-01,2.442357e-01,2.277682e-02
64,99,2.390121e-01,2.298316e-01,1.996289e-02
64,100,2.279842e-01,2.293837e-01,2.073538e-02
64,101,2.286919e-01,2.324898e-01,2.016920e-02
64,102,2.272270e-01,2.300944e-01,2.044481e-02
64,103,2.353298e-01,2.311646e-01,2.090115e-02
64,104,2.412771e-01,2.304386e-01,2.028127e-02
64,105,2.306215e-01,2.355893e-01,2.105197e-02
64,106,2.373739e-01,2.288586e-01,2.119811e-02
64,107,2.418700e-01,2.249279e-01,2.040326e-02
64,108,2.389594e-01,2.296511e-01,2.065630e-02
64,109,2.292153e-01,2.328330e-01,2.106151e-02
64,110,2.368378e-01,2.300648e-01,2.096998e-02
64,111,2.294306e-01,2.281907e-01,2.051198e-02
64,112,2.419094e-01,2.279905e-01,2.042346e-02
64,113,2.396958e-01,2.312056e-01,2.140484e-02
64,114,2.325404e-01,2.271311e-01,2.031198e-02
64,115,2.342931e-01,2.269863e-01,2.082156e-02
64,116,2.325342e-01,2.251668e-01,2.004175e-02
64,117,2.261427e-01,2.330069e-01,2.091592e-02
64,118,2.324368e-01,2.301291e-01,2.226698e-02
64,119,2.343832e-01,2.506320e-01,2.258220e-02
64,120,2.492195e-01,2.265644e-01,2.079708e-02
64,121,2.300463e-01,2.351999e-01,2.177110e-02
64,122,2.426246e-01,2.277370e-01,2.112793e-02
64,123,2.288709e-01,2.272456e-01,2.091552e-02
64,124,2.430848e-01,2.301452e-01,2.163852e-02
64,125,2.285774e-01,2.341250e-01,2.158044e-02
64,126,2.277422e-01,2.322054e-01,2.181549e-02
64,127,2.304800e-01,2.297771e-01,2.084265e-02
64,128,2.291972e-01,2.257676e-01,2.055749e-02
64,129,2.247515e-01,2.294173e-01,2.081150e-02
64,130,2.414536e-01,2.258776e-01,2.108292e-02
64,131,2.305476e-01,2.261050e-01,2.132359e-02
64,132,2.351362e-01,2.260512e-01,2.148094e-02
64,133,2.338292e-01,2.265371e-01,2.064064e-02
64,134,2.301959e-01,2.265864e-01,2.121334e-02
64,135,2.434917e-01,2.307015e-01,2.145292e-02
64,136,2.320361e-01,2.288839e-01,2.072009e-02
64,137,2.303004e-01,2.371759e-01,2.140591e-02
64,138,2.410203e-01,2.290410e-01,2.038909e-02
64,139,2.248259e-01,2.276798e-01,2.032440e-02
64,140,2.296740e-01,2.292921e-01,2.025524e-02
64,141,2.293081e-01,2.255395e-01,2.092418e-02
64,142,2.283595e-01,2.284357e-01,2.048715e-02
64,143,2.382076e-01,2.284405e-01,2.052522e-02
64,144,2.314348e-01,2.261014e-01,2.019956e-02
64,145,2.360689e-01,2.292128e-01,2.089786e-02
64,146,2.303157e-01,2.265294e-01,2.073304e-02
64,147,2.298997e-01,2.295588e-01,2.034439e-02
96,148,3.965414e-01,3.570257e-01,1.226513e-02
96,149,3.647592e-01,3.358779e-01,1.168817e-02
96,150,3.419174e-01,3.314491e-01,1.143714e-02
96,151,3.207849e-01,3.104279e-01,1.125252e-02
96,152,3.217025e-01,2.963431e-01,1.052228e-02
96,153,3.017280e-01,2.893483e-01,1.027664e-02
96,154,2.886895e-01,2.790143e-01,9.753455e-03
96,155,2.809870e-01,2.675951e-01,9.680461e-03
96,156,2.650038e-01,2.612993e-01,9.059938e-03
96,157,2.638480e-01,2.674139e-01,9.153062e-03
96,158,2.734367e-01,2.607024e-01,9.501172e-03
96,159,2.635689e-01,2.469565e-01,8.762764e-03
96,160,2.546482e-01,2.485806e-01,9.481276e-03
96,161,2.550582e-01,2.357047e-01,8.704457e-03
96,162,2.523501e-01,2.561860e-01,8.741040e-03
96,163,2.505135e-01,2.431419e-01,9.242801e-03
96,164,2.558481e-01,2.476067e-01,8.811834e-03
96,165,2.486626e-01,2.339716e-01,9.102040e-03
96,166,2.374744e-01,2.291463e-01,8.519334e-03
96,167,2.483733e-01,2.253495e-01,8.504933e-03
96,168,2.371855e-01,2.245421e-01,8.423625e-03
96,169,2.353297e-01,2.261024e-01,8.667770e-03
96,170,2.495500e-01,2.350136e-01,8.593668e-03
96,171,2.337932e-01,2.304349e-01,8.948494e-03
96,172,2.348049e-01,2.296001e-01,8.323028e-03
96,173,2.322794e-01,2.195593e-01,8.326675e-03
96,174,2.448642e-01,2.196546e-01,8.321895e-03
96,175,2.326670e-01,2.225250e-01,8.195727e-03
96,176,2.350873e-01,2.204939e-01,8.547412e-03
96,177,2.376075e-01,2.213416e-01,8.107988e-03
96,178,2.264266e-01,2.208633e-01,8.538006e-03
96,179,2.434976e-01,2.213148e-01,8.072879e-03
96,180,2.295984e-01,2.169533e-01,8.130791e-03
96,181,2.326894e-01,2.239897e-01,8.246296e-03
96,182,2.362119e-01,2.241198e-01,8.693932e-03
96,183,2.364114e-01,2.246152e-01,8.338764e-03
96,184,2.249915e-01,2.253140e-01,8.313842e-03
96,185,2.328970e-01,2.263517e-01,8.818381e-03
96,186,2.343840e-01,2.190833e-01,8.078763e-03
96,187,2.300076e-01,2.185855e-01,8.327210e-03
96,188,2.271284e-01,2.321960e-01,8.305989e-03
96,189,2.331197e-01,2.212296e-01,8.509478e-03
96,190,2.277474e-01,2.327808e-01,8.414844e-03
96,191,2.281976e-01,2.219915e-01,8.604766e-03
96,192,2.341800e-01,2.222816e-01,8.242887e-03
96,193,2.333058e-01,2.193132e-01,8.203164e-03
96,194,2.409372e-01,2.173778e-01,8.262824e-03
96,195,2.471880e-01,2.192949e-01,8.181416e-03
96,196,2.300701e-01,2.163830e-01,8.201406e-03
96,197,2.297864e-01,2.157277e-01,8.221413e-03
96,198,2.309877e-01,2.163648e-01,8.110805e-03
96,199,2.357346e-01,2.183113e-01,8.092378e-03
96,200,2.228272e-01,2.173128e-01,8.251371e-03
96,201,2.271253e-01,2.237079e-01,8.240736e-03
96,202,2.296900e-01,2.267844e-01,8.702520e-03
96,203,2.432423e-01,2.231511e-01,8.173209e-03
96,204,2.236525e-01,2.196613e-01,8.356899e-03
96,205,2.361922e-01,2.225477e-01,8.181829e-03
96,206,2.283577e-01,2.252912e-01,8.602590e-03
96,207,2.324731e-01,2.192270e-01,8.133596e-03
96,208,2.416386e-01,2.174012e-01,8.124631e-03
96,209,2.284515e-01,2.152219e-01,8.224566e-03
96,210,2.225280e-01,2.170772e-01,8.179981e-03
96,211,2.302844e-01,2.171290e-01,8.293319e-03
96,212,2.381641e-01,2.183014e-01,8.067510e-03
96,213,2.323995e-01,2.150543e-01,8.229913e-03
96,214,2.376700e-01,2.172399e-01,8.146776e-03
96,215,2.364552e-01,2.178348e-01,8.008618e-03
96,216,2.245835e-01,2.154534e-01,8.128937e-03
96,217,2.359683e-01,2.233727e-01,8.290764e-03
96,218,2.409257e-01,2.169069e-01,8.330029e-03
96,219,2.499541e-01,2.223652e-01,8.428401e-03
96,220,2.332568e-01,2.185383e-01,8.130025e-03
128,221,3.897721e-01,3.661293e-01,6.673082e-03
128,222,3.730759e-01,3.338770e-01,6.405833e-03
128,223,3.443390e-01,3.148229e-01,6.159207e-03
128,224,3.208114e-01,3.056421e-01,6.112577e-03
128,225,3.197575e-01,3.034828e-01,5.789296e-03
128,226,3.099139e-01,2.886046e-01,5.713144e-03
128,227,2.942630e-01,2.832752e-01,5.667390e-03
128,228,2.991620e-01,2.720476e-01,5.449586e-03
128,229,2.853857e-01,2.661178e-01,5.274659e-03
128,230,2.779583e-01,2.658146e-01,5.231373e-03
128,231,2.715258e-01,2.613589e-01,5.205568e-03
128,232,2.746059e-01,2.513626e-01,5.181965e-03
128,233,2.705919e-01,2.681314e-01,5.163485e-03
128,234,2.637981e-01,2.433260e-01,5.111552e-03
128,235,2.551125e-01,2.480002e-01,4.988306e-03
128,236,2.493541e-01,2.431485e-01,5.140603e-03
128,237,2.458034e-01,2.469963e-01,4.849940e-03
128,238,2.433821e-01,2.297350e-01,4.888827e-03
128,239,2.418149e-01,2.254942e-01,4.634902e-03
128,240,2.369071e-01,2.280899e-01,4.623537e-03
128,241,2.429221e-01,2.508252e-01,5.270989e-03
128,242,2.593958e-01,2.431646e-01,4.781248e-03
128,243,2.399024e-01,2.378374e-01,4.944217e-03
