p,N,beta,method,x_eval,u_exact,u_h
3,2,1.55,uniform,2.4030428944069694e-07,5.4976914333053006e-11,4.023807304114702e-08
3,2,1.55,uniform,2.4591304254680464e-07,5.6978553910058195e-11,4.117723999838894e-08
3,2,1.55,uniform,2.516527051405389e-07,5.905307064004347e-11,4.2138327396446616e-08
3,2,1.55,uniform,2.5752633267711987e-07,6.120311788752473e-11,4.3121846867062555e-08
3,2,1.55,uniform,2.635370519267393e-07,6.343144562264702e-11,4.4128321983761445e-08
3,2,1.55,uniform,2.6968806263906925e-07,6.574090393847336e-11,4.515828854058317e-08
3,2,1.55,uniform,2.7598263924661804e-07,6.813444669633293e-11,4.621229483732147e-08
3,2,1.55,uniform,2.8242413260784357e-07,7.061513530389154e-11,4.729090197142069e-08
3,2,1.55,uniform,2.8901597179095113e-07,7.31861426307772e-11,4.8394684136685915e-08
3,2,1.55,uniform,2.9576166589932564e-07,7.585075706676851e-11,4.952422892896557e-08
3,2,1.55,uniform,3.026648059395689e-07,7.861238672773615e-11,5.0680137658969016e-08
3,2,1.55,uniform,3.097290667331407e-07,8.147456381471883e-11,5.186302567238658e-08
3,2,1.55,uniform,3.169582088726115e-07,8.444094913170501e-11,5.3073522677480664e-08
3,2,1.55,uniform,3.243560807235811e-07,8.751533676790386e-11,5.431227308032456e-08
3,2,1.55,uniform,3.3192662047331894e-07,9.070165895049053e-11,5.557993632786589e-08
3,2,1.55,uniform,3.3967385822722097e-07,9.400399107403384e-11,5.687718725899797e-08
3,2,1.55,uniform,3.4760191815419815e-07,9.742655691303915e-11,5.8204716463825865e-08
3,2,1.55,uniform,3.5571502068213824e-07,1.0097373402427298e-10,5.95632306513185e-08
3,2,1.55,uniform,3.640174847446138e-07,1.04650059345781e-10,6.095345302554312e-08
3,2,1.55,uniform,3.725137300800209e-07,1.0846023499975577e-10,6.237612367068057e-08
3,2,1.55,uniform,3.812082795843888e-07,1.1240913430668307e-10,6.383199994502914e-08
3,2,1.55,uniform,3.9010576171909933e-07,1.1650180801845364e-10,6.53218568842047e-08
3,2,1.55,uniform,3.9921091297480534e-07,1.2074349077841524e-10,6.684648761375256e-08
3,2,1.55,uniform,4.0852858039285653e-07,1.2513960781662688e-10,6.840670377139073e-08
3,2,1.55,uniform,4.180637241455762e-07,1.2969578188887874e-10,7.000333593910947e-08
3,2,1.55,uniform,4.2782142017676126e-07,1.3441784046835254e-10,7.16372340853569e-08
3,2,1.55,uniform,4.3780686290381663e-07,1.3931182319912327e-10,7.330926801754709e-08
3,2,1.55,uniform,4.4802536798294896e-07,1.4438398962102928e-10,7.502032784512968e-08
3,2,1.55,uniform,4.5848237513890964e-07,1.4964082717579915e-10,7.677132445346984e-08
