p,seed,level_N,epoch,train_loss,val_loss,h1_rel_val_median,lr,time_sec,optimizer_restarts,is_best
3,1,2,0,0.265929961744718,0.06062491664139162,0.0032927225367376366,0.01,42.50937770400196,0,1
3,1,2,1,0.061970236661899755,0.054097637296725114,0.0039471121361571125,0.01,42.635548219957855,0,1
3,1,2,2,0.053546968417534035,0.053325659465135136,0.00401246222179083,0.01,42.76021487801336,0,1
3,1,2,3,0.052308094362640334,0.05267236143474873,0.004084571291146924,0.01,42.885584964999,0,1
3,1,2,4,0.05149057485632215,0.05127118660385021,0.0038828400369394396,0.01,43.00985645496985,0,1
3,1,2,5,0.05064991032772413,0.050468337228955926,0.003950450942719674,0.01,43.134388878999744,0,1
3,1,2,6,0.05005827058924693,0.049845195853264884,0.003925058757680923,0.01,43.26072227599798,0,1
3,1,2,7,0.04977255644811197,0.0495854215478979,0.003872996047201754,0.01,43.38598874898162,0,0
3,1,2,8,0.049492626586227516,0.04934343340739433,0.003969190013478261,0.01,43.51262889598729,0,1
3,1,2,9,0.049339496923911395,0.049273562750351885,0.0040094268159091015,0.01,43.63824888900854,0,0
3,1,2,10,0.04934464807304307,0.0492338147009162,0.003984552400128277,0.01,43.76350518199615,0,0
3,1,2,11,0.04917084647891473,0.0492243724233002,0.003991778427510056,0.01,43.89071507100016,0,0
3,1,2,12,0.04937230974996594,0.0492222068085665,0.003998957334368618,0.01,44.016148136986885,0,0
3,1,2,13,0.04910455699930093,0.04921824787455301,0.003972287560935252,0.01,44.14080876996741,0,0
3,1,2,14,0.0493056598016289,0.04921887106139908,0.003962231372657251,0.01,44.26753718598047,0,0
3,1,2,15,0.04924614048132716,0.049215062882745665,0.003968150697078241,0.01,44.39207310200436,0,0
3,1,2,16,0.04931108874663126,0.04921327344247146,0.003985060672658031,0.01,44.51747798197903,0,0
3,1,2,17,0.04931404397249472,0.0493692771196884,0.0038560040727930595,0.01,44.643571731983684,0,0
3,1,2,18,0.04931855426234414,0.049228567660297456,0.00401667100789837,0.01,44.768684628012124,0,0
3,1,2,19,0.049260741158872,0.04925635422190145,0.004043156193836019,0.01,44.89461223600665,0,0
3,1,2,20,0.04936801612785817,0.049213994312783976,0.003999810675094027,0.01,45.019703191996086,0,0
3,1,2,21,0.049258786092127464,0.04929339941325385,0.0038825216506188573,0.01,45.14462541398825,0,0
3,1,2,22,0.049279414870690035,0.049224750513618916,0.004015185792706811,0.01,45.271417727984954,0,0
3,1,2,23,0.04927361597646093,0.04921645324364618,0.003935499229996539,0.01,45.396887814975344,0,0
3,1,2,24,0.0493553214874126,0.04924150460638999,0.003909245091447442,0.01,45.52195105800638,0,0
3,1,2,25,0.04919657638497349,0.04920357995554447,0.003953834099932552,0.01,45.64848016796168,0,0
3,1,2,26,0.04922156392213198,0.0494531836400976,0.003817630404068007,0.01,45.77342163695721,0,0
3,1,2,27,0.049284403134794444,0.0492105954693469,0.003999960684447658,0.01,45.89944095397368,0,0
3,1,2,28,0.0493473692210475,0.04923052727298411,0.003911616303895522,0.01,46.025898224965204,0,0
3,1,2,29,0.04930561241510882,0.0492110213371835,0.003929695611438268,0.01,46.15125714696478,0,0
3,1,2,30,0.04927475080575279,0.04920122563611971,0.0039432440045688,0.01,46.278698367998004,0,0
3,1,2,31,0.049347859430423614,0.049221095211588635,0.004012938633493604,0.01,46.40394195000408,0,0
3,1,2,32,0.049267478129836895,0.04927536891112102,0.0038768959748704188,0.01,46.52999489096692,0,0
3,1,2,33,0.04907966914780425,0.04921358962824896,0.0039197579774510214,0.01,46.65675742295571,0,0
3,1,2,34,0.049243574422789704,0.049227251610481075,0.004019554878150123,0.01,46.782007311005145,0,0
3,1,2,35,0.049319377110540956,0.0491930065062142,0.003950649519744188,0.01,46.90861333697103,0,0
3,1,2,36,0.04923309114751114,0.049375219340150295,0.0038315386051424524,0.01,47.03404033597326,0,0
3,1,2,37,0.04935845228579354,0.04926762028340547,0.0038755914043115125,0.01,47.160179279977456,0,0
3,1,2,38,0.04940799524933222,0.049191260618947505,0.003969954745180785,0.01,47.28760661697015,0,0
3,1,2,39,0.04913621348864189,0.04919034565263317,0.0039461728460881825,0.01,47.412697311956435,0,0
3,1,2,40,0.049268655588041686,0.04918948255448024,0.003945416656463686,0.01,47.537923019961454,0,0
3,1,2,41,0.049278157571432016,0.0491999735652296,0.00399053729455435,0.01,47.66375816997606,0,0
3,1,2,42,0.049182666746277734,0.04921257811408357,0.0039071497860897605,0.01,47.78869355097413,0,0
3,1,2,43,0.04904460544813829,0.049193933757075876,0.0039811749298646025,0.01,47.91458997997688,0,0
3,1,2,44,0.04914431762599901,0.049267964729770596,0.0038685989772025233,0.01,48.038994392962195,0,0
3,1,2,45,0.04921012750527237,0.04921506335106174,0.004006061459090544,0.01,48.16261979297269,0,0
3,1,2,46,0.04930914584208075,0.04918893367899705,0.003976742942476528,0.01,48.28797516296618,0,0
3,1,2,47,0.04927580499784135,0.049209179777542876,0.003903518456361707,0.01,48.41260091698496,0,0
3,1,2,48,0.049333762215338625,0.0492024797446433,0.003996733051286875,0.01,48.536731978994794,0,0
3,1,4,0,0.012751073629402513,0.007284323732128113,0.0007563793430082102,0.01,44.139669677009806,0,1
3,1,4,1,0.005891158766171377,0.005649191361358333,0.0007694927291419435,0.01,44.30014144699089,0,1
3,1,4,2,0.005361671536933324,0.005426513198928917,0.0007893272135207127,0.01,44.45897310401779,0,1
3,1,4,3,0.00528190265112692,0.005347784573807995,0.0007466423421440147,0.01,44.61588162899716,0,1
3,1,4,4,0.005194532798197412,0.005309026423088317,0.0007692298391719931,0.01,44.77192234899849,0,0
3,1,4,5,0.005191267981452937,0.0052636798901558235,0.0007601778048028352,0.01,44.928891248011496,0,1
3,1,4,6,0.005147339134294444,0.005241045742124609,0.0007565368253447944,0.01,45.08584819198586,0,0
3,1,4,7,0.005149293612462141,0.005234261376266092,0.000751987373658553,0.01,45.24220412701834,0,0
3,1,4,8,0.005141056166268224,0.005199661096878038,0.0007608546452317082,0.01,45.39930997201009,0,1
3,1,4,9,0.005104759048692992,0.005179719425042728,0.0007687067238521175,0.01,45.55500384798506,0,0
3,1,4,10,0.005109377949751501,0.005167539010763693,0.0007762253885219569,0.01,45.70932946796529,0,0
3,1,4,11,0.0051028515810290715,0.005163410953089624,0.0007700160777555171,0.01,45.86464097700082,0,0
3,1,4,12,0.0050878762307451034,0.005155127862325848,0.0007805516820335419,0.01,46.02079831098672,0,0
3,1,4,13,0.005068584498491396,0.005160987676536099,0.0007912499702090046,0.01,46.175969932985026,0,0
3,1,4,14,0.005086212779434425,0.005156561043832282,0.0007702400894799143,0.01,46.33116235601483,0,0
