p,N,beta,method,x_eval,u_exact_dd,u_h_dd
3,2,1.55,uniform,0.0,inf,2.6022588952356855
3,2,1.55,uniform,1e-07,1204.1882567908974,2.6022585750563354
3,2,1.55,uniform,1.0233402121916422e-07,1191.750573598878,2.6022585675832812
3,2,1.55,uniform,1.0472251898884354e-07,1179.4413553394074,2.602258559935805
3,2,1.55,uniform,1.0716676480328644e-07,1167.2592751384502,2.6022585521098343
3,2,1.55,uniform,1.0966805983368674e-07,1155.2030198268374,2.602258544101204
3,2,1.55,uniform,1.1222773562085071e-07,1143.2712897987099,2.602258535905651
3,2,1.55,uniform,1.148471547840289e-07,1131.4627988714337,2.6022585275188117
3,2,1.55,uniform,1.1752771174629453e-07,1119.776274146951,2.602258518936222
3,2,1.55,uniform,1.202708334768512e-07,1108.210455874569,2.6022585101533124
3,2,1.55,uniform,1.2307798025066658e-07,1096.7640973151658,2.6022585011654082
3,2,1.55,uniform,1.259506464258359e-07,1085.4359646067965,2.6022584919677243
3,2,1.55,uniform,1.2889036123908913e-07,1074.2248366316908,2.6022584825553645
3,2,1.55,uniform,1.318986896198669e-07,1063.1295048846184,2.6022584729233182
3,2,1.55,uniform,1.3497723302339418e-07,1052.1487733426236,2.602258463066458
3,2,1.55,uniform,1.3812763028320093e-07,1041.2814583360964,2.6022584529795365
3,2,1.55,uniform,1.4135155848353955e-07,1030.5263884211793,2.602258442657184
3,2,1.55,uniform,1.446507338521647e-07,1019.8824042534909,2.602258432093906
3,2,1.55,uniform,1.48026912673951e-07,1009.348358463155,2.6022584212840782
3,2,1.55,uniform,1.5148189222583472e-07,998.9231155311194,2.6022584102219475
3,2,1.55,uniform,1.5501751173357687e-07,988.605551666753,2.6022583989016237
3,2,1.55,uniform,1.5863565335085897e-07,978.3945546867036,2.6022583873170815
3,2,1.55,uniform,1.6233824316122781e-07,968.289023895015,2.6022583754621533
3,2,1.55,uniform,1.6612725220342929e-07,958.2878699644737,2.6022583633305287
3,2,1.55,uniform,1.7000469752067182e-07,948.3900148191855,2.6022583509157498
3,2,1.55,uniform,1.7397264323438026e-07,938.5943915183648,2.602258338211207
3,2,1.55,uniform,1.7803320164301157e-07,928.8999441413224,2.6022583252101374
3,2,1.55,uniform,1.8218853434651651e-07,919.3056276736444,2.60225831190562
3,2,1.55,uniform,1.864408533970485e-07,909.8104078945406,2.6022582982905726
3,2,1.55,uniform,1.907924224765265e-07,900.4132612653659,2.602258284357747
3,2,1.55,uniform,1.9524555810168608e-07,891.1131748192843,2.602258270099726
3,2,1.55,uniform,1.9980263085725506e-07,881.9091460520768,2.60225825550892
3,2,1.55,uniform,2.0446606665791177e-07,872.8001828140763,2.602258240577562
3,2,1.55,uniform,2.092383480396979e-07,863.7853032032189,2.6022582252977022
3,2,1.55,uniform,2.1412201548157316e-07,854.8635354591993,2.602258209661208
3,2,1.55,uniform,2.1911966875781473e-07,846.0339178587209,2.602258193659754
3,2,1.55,uniform,2.242339683219845e-07,837.2954986118232,2.602258177284823
3,2,1.55,uniform,2.2946763672319364e-07,828.6473357592881,2.6022581605276973
3,2,1.55,uniform,2.3482346005542765e-07,820.088497071099,2.602258143379457
3,2,1.55,uniform,2.4030428944069694e-07,811.6180599459503,2.602258125830973
3,2,1.55,uniform,2.4591304254680464e-07,803.2351113117966,2.602258107872904
3,2,1.55,uniform,2.516527051405389e-07,794.9387475274282,2.6022580894956895
3,2,1.55,uniform,2.5752633267711987e-07,786.7280742850601,2.602258070689547
3,2,1.55,uniform,2.635370519267393e-07,778.6022065139343,2.602258051444465
