iteration,train_loss,val_eta2
1,2.659300e-01,6.062492e-02
2,6.197024e-02,5.409764e-02
3,5.354697e-02,5.332566e-02
4,5.230809e-02,5.267236e-02
5,5.149057e-02,5.127119e-02
6,5.064991e-02,5.046834e-02
7,5.005827e-02,4.984520e-02
8,4.977256e-02,4.958542e-02
9,4.949263e-02,4.934343e-02
10,4.933950e-02,4.927356e-02
11,4.934465e-02,4.923381e-02
12,4.917085e-02,4.922437e-02
13,4.937231e-02,4.922221e-02
14,4.910456e-02,4.921825e-02
15,4.930566e-02,4.921887e-02
16,4.924614e-02,4.921506e-02
17,4.931109e-02,4.921327e-02
18,4.931404e-02,4.936928e-02
19,4.931855e-02,4.922857e-02
20,4.926074e-02,4.925635e-02
21,4.936802e-02,4.921399e-02
22,4.925879e-02,4.929340e-02
23,4.927941e-02,4.922475e-02
24,4.927362e-02,4.921645e-02
25,4.935532e-02,4.924150e-02
26,4.919658e-02,4.920358e-02
27,4.922156e-02,4.945318e-02
28,4.928440e-02,4.921060e-02
29,4.934737e-02,4.923053e-02
30,4.930561e-02,4.921102e-02
31,4.927475e-02,4.920123e-02
32,4.934786e-02,4.922110e-02
33,4.926748e-02,4.927537e-02
34,4.907967e-02,4.921359e-02
35,4.924357e-02,4.922725e-02
36,4.931938e-02,4.919301e-02
37,4.923309e-02,4.937522e-02
38,4.935845e-02,4.926762e-02
39,4.940800e-02,4.919126e-02
40,4.913621e-02,4.919035e-02
41,4.926866e-02,4.918948e-02
42,4.927816e-02,4.919997e-02
43,4.918267e-02,4.921258e-02
44,4.904461e-02,4.919393e-02
45,4.914432e-02,4.926796e-02
46,4.921013e-02,4.921506e-02
47,4.930915e-02,4.918893e-02
48,4.927580e-02,4.920918e-02
49,4.933376e-02,4.920248e-02
50,1.275107e-02,7.284324e-03
51,5.891159e-03,5.649191e-03
52,5.361672e-03,5.426513e-03
53,5.281903e-03,5.347785e-03
54,5.194533e-03,5.309026e-03
55,5.191268e-03,5.263680e-03
56,5.147339e-03,5.241046e-03
