p,N,beta,method,x_eval,u_exact,u_h
2,2,1.55,uniform,0.0,0.0,-7.03872707087571e-19
2,2,1.55,uniform,1e-07,1.4125375446227531e-11,2.541650924004251e-08
2,2,1.55,uniform,1.0233402121916422e-07,1.463966241333415e-11,2.6009736160627554e-08
2,2,1.55,uniform,1.0472251898884354e-07,1.51726739152712e-11,2.6616809132943834e-08
2,2,1.55,uniform,1.0716676480328644e-07,1.5725091688553572e-11,2.723805132722668e-08
2,2,1.55,uniform,1.0966805983368674e-07,1.6297622290856173e-11,2.7873793456594485e-08
2,2,1.55,uniform,1.1222773562085071e-07,1.6890998004720982e-11,2.852437395310243e-08
2,2,1.55,uniform,1.148471547840289e-07,1.7505977774166465e-11,2.91901391479048e-08
2,2,1.55,uniform,1.1752771174629453e-07,1.8143348175398274e-11,2.987144345562296e-08
2,2,1.55,uniform,1.202708334768512e-07,1.8803924422861986e-11,3.0568649563016306e-08
2,2,1.55,uniform,1.2307798025066658e-07,1.9488551411925026e-11,3.1282128622056916e-08
2,2,1.55,uniform,1.259506464258359e-07,2.0198104799521324e-11,3.201226044751067e-08
2,2,1.55,uniform,1.2889036123908913e-07,2.093349212414077e-11,3.275943371912998e-08
2,2,1.55,uniform,1.318986896198669e-07,2.1695653966596432e-11,3.3524046188566075e-08
2,2,1.55,uniform,1.3497723302339418e-07,2.2485565153053113e-11,3.430650489111009e-08
2,2,1.55,uniform,1.3812763028320093e-07,2.330423600185737e-11,3.510722636237702e-08
2,2,1.55,uniform,1.4135155848353955e-07,2.4152713615762703e-11,3.592663686004679e-08
2,2,1.55,uniform,1.446507338521647e-07,2.5032083221203018e-11,3.6765172590781003e-08
2,2,1.55,uniform,1.48026912673951e-07,2.5943469556327386e-11,3.762327994243599e-08
2,2,1.55,uniform,1.5148189222583472e-07,2.6888038309571383e-11,3.8501415721695906e-08
2,2,1.55,uniform,1.5501751173357687e-07,2.7866997610604897e-11,3.940004739725223e-08
2,2,1.55,uniform,1.5863565335085897e-07,2.8881599575563854e-11,4.0319653348659604e-08
2,2,1.55,uniform,1.6233824316122781e-07,2.993314190854102e-11,4.126072312099926e-08
2,2,1.55,uniform,1.6612725220342929e-07,3.102296956138596e-11,4.222375768548738e-08
2,2,1.55,uniform,1.7000469752067182e-07,3.2152476453935654e-11,4.320926970616567e-08
2,2,1.55,uniform,1.7397264323438026e-07,3.3323107256876737e-11,4.421778381281681e-08
2,2,1.55,uniform,1.7803320164301157e-07,3.453635923951941e-11,4.5249836880249965e-08
2,2,1.55,uniform,1.8218853434651651e-07,3.5793784184846374e-11,4.630597831410477e-08
2,2,1.55,uniform,1.864408533970485e-07,3.70969903742868e-11,4.738677034332678e-08
2,2,1.55,uniform,1.907924224765265e-07,3.844764464475228e-11,4.8492788319468457e-08
2,2,1.55,uniform,1.9524555810168608e-07,3.984747452056797e-11,4.9624621022977024e-08
2,2,1.55,uniform,1.9980263085725506e-07,4.12982704230241e-11,5.0782870976630805e-08
2,2,1.55,uniform,2.0446606665791177e-07,4.2801887960374476e-11,5.196815476629147e-08
2,2,1.55,uniform,2.092383480396979e-07,4.4360250301211026e-11,5.318110336914288e-08
2,2,1.55,uniform,2.1412201548157316e-07,4.5975350634249843e-11,5.442236248959127e-08
2,2,1.55,uniform,2.1911966875781473e-07,4.764925471767471e-11,5.56925929030054e-08
2,2,1.55,uniform,2.242339683219845e-07,4.938410352129985e-11,5.6992470807480535e-08
2,2,1.55,uniform,2.2946763672319364e-07,5.118211596492886e-11,5.832268818381167e-08
2,2,1.55,uniform,2.3482346005542765e-07,5.304559175641534e-11,5.968395316386986e-08
2,2,1.55,uniform,2.4030428944069694e-07,5.4976914333053006e-11,6.107699040757637e-08
2,2,1.55,uniform,2.4591304254680464e-07,5.6978553910058195e-11,6.250254148867561e-08
2,2,1.55,uniform,2.516527051405389e-07,5.905307064004347e-11,6.396136528951225e-08
2,2,1.55,uniform,2.5752633267711987e-07,6.120311788752473e-11,6.545423840502351e-08
2,2,1.55,uniform,2.635370519267393e-07,6.343144562264702e-11,6.69819555561595e-08
2,2,1.55,uniform,2.6968806263906925e-07,6.574090393847336e-11,6.854533001295458e-08
2,2,1.55,uniform,2.7598263924661804e-07,6.813444669633293e-11,7.014519402747284e-08
2,2,1.55,uniform,2.8242413260784357e-07,7.061513530389154e-11,7.178239927685904e-08
2,2,1.55,uniform,2.8901597179095113e-07,7.31861426307772e-11,7.34578173167308e-08
2,2,1.55,uniform,2.9576166589932564e-07,7.585075706676851e-11,7.517234004515331e-08
2,2,1.55,uniform,3.026648059395689e-07,7.861238672773615e-11,7.692688017744357e-08
2,2,1.55,uniform,3.097290667331407e-07,8.147456381471883e-11,7.872237173205763e-08
2,2,1.55,uniform,3.169582088726115e-07,8.444094913170501e-11,8.055977052781753e-08
2,2,1.55,uniform,3.243560807235811e-07,8.751533676790386e-11,8.244005469274547e-08
2,2,1.55,uniform,3.3192662047331894e-07,9.070165895049053e-11,8.436422518477387e-08
2,2,1.55,uniform,3.3967385822722097e-07,9.400399107403384e-11,8.633330632460953e-08
2,2,1.55,uniform,3.4760191815419815e-07,9.742655691303915e-11,8.83483463410353e-08
2,2,1.55,uniform,3.5571502068213824e-07,1.0097373402427298e-10,9.041041792893963e-08
2,2,1.55,uniform,3.640174847446138e-07,1.04650059345781e-10,9.252061882037198e-08
2,2,1.55,uniform,3.725137300800209e-07,1.0846023499975577e-10,9.468007236892525e-08
