p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,7.866681790071574e-05,59.92225870182913,1.6892223211557864
2,2,1.55,uniform,8.050291812295972e-05,59.303340467341656,1.6892223211557864
2,2,1.55,uniform,8.238187331399601e-05,58.69081484537045,1.6892223211557864
2,2,1.55,uniform,8.430468371788966e-05,58.084615808623866,1.6892223211557864
2,2,1.55,uniform,8.62723729246145e-05,57.48467801178544,1.6892223211557864
2,2,1.55,uniform,8.82859884149515e-05,56.89093678447002,1.6892223211557864
2,2,1.55,uniform,9.034660211810534e-05,56.3033281242526,1.6892223211557864
2,2,1.55,uniform,9.24553109823358e-05,55.72178868976918,1.6892223211557864
2,2,1.55,uniform,9.461323755890779e-05,55.14625579388879,1.6892223211557864
2,2,1.55,uniform,9.682153059967096e-05,54.57666739695631,1.6892223211557864
2,2,1.55,uniform,9.908136566858666e-05,54.01296210010472,1.6892223211557864
2,2,1.55,uniform,0.00010139394576752918,53.45507913863659,1.6892223211557864
2,2,1.55,uniform,0.00010376050197669117,52.90295837547411,1.6892223211557864
2,2,1.55,uniform,0.00010618229410993834,52.356540294676485,1.6892223211557864
2,2,1.55,uniform,0.00010866061138545968,51.81576599502438,1.6892223211557864
2,2,1.55,uniform,0.0001111967731120699,51.28057718367074,1.6892223211557864
2,2,1.55,uniform,0.0001137921293915315,50.75091616985706,1.6892223211557864
2,2,1.55,uniform,0.00011644806183726855,50.2267258586946,1.6892223211557864
2,2,1.55,uniform,0.00011916598430985589,49.7079497450098,1.6892223211557864
2,2,1.55,uniform,0.00012194734366967383,49.19453190725338,1.6892223211557864
2,2,1.55,uniform,0.00012479362054713115,48.68641700147219,1.6892223211557864
2,2,1.55,uniform,0.00012770633013086432,48.18355025534349,1.6892223211557864
2,2,1.55,uniform,0.0001306870229743346,47.6858774622706,1.6892223211557864
2,2,1.55,uniform,0.00013373728582124963,47.193344975539844,1.6892223211557864
2,2,1.55,uniform,0.0001368587424502518,46.705899702537685,1.6892223211557864
2,2,1.55,uniform,0.00014005305453932196,46.22348909902748,1.6892223211557864
2,2,1.55,uniform,0.0001433219225503574,45.74606116348559,1.6892223211557864
2,2,1.55,uniform,0.00014666708663439685,45.2735644314958,1.6892223211557864
2,2,1.55,uniform,0.0001500903275579735,44.80594797020176,1.6892223211557864
2,2,1.55,uniform,0.0001535934676510897,44.34316137281655,1.6892223211557864
2,2,1.55,uniform,0.00015717837177731627,43.885154753189255,1.6892223211557864
2,2,1.55,uniform,0.00016084694832653552,43.43187874042735,1.6892223211557864
2,2,1.55,uniform,0.00016460115023085497,42.98328447357473,1.6892223211557864
2,2,1.55,uniform,0.0001684429760042315,42.539323596344886,1.6892223211557864
2,2,1.55,uniform,0.00017237447080636198,42.099948251908174,1.6892223211557864
2,2,1.55,uniform,0.00017639772753140436,41.665111077733215,1.6892223211557864
2,2,1.55,uniform,0.0001805148879221108,41.234765200481284,1.6892223211557864
2,2,1.55,uniform,0.00018472814370996341,40.808864230953766,1.6892223211557864
2,2,1.55,uniform,0.00018903973778192212,40.38736225909151,1.6892223211557864
2,2,1.55,uniform,0.00019345196537440441,39.970213849025996,1.6892223211557864
2,2,1.55,uniform,0.00019796717529513326,39.55737403418151,1.6892223211557864
2,2,1.55,uniform,0.00020258777117350172,39.14879831242806,1.6892223211557864
2,2,1.55,uniform,0.0002073162127401229,38.744442641284216,1.6892223211557864
2,2,1.55,uniform,0.000212155017136245,38.344263433169466,1.6892223211557864
2,2,1.55,uniform,0.0002171067602537265,37.94821755070582,1.6892223211557864
2,2,1.55,uniform,0.00022217407810628845,37.556262302067765,1.6892223211557864
2,2,1.55,uniform,0.0002273596682327715,37.16835543638023,1.6892223211557864
2,2,1.55,uniform,0.00023266629113314577,36.78445513916421,1.6892223211557864
2,2,1.55,uniform,0.00023809677173803584,36.40452002782935,1.6892223211557864
2,2,1.55,uniform,0.00024365400091254662,36.028509147213114,1.6892223211557864
2,2,1.55,uniform,0.0002493409369951878,35.656381965166034,1.6892223211557864
2,2,1.55,uniform,0.00025516060737271835,35.288098368182425,1.6892223211557864
