x,u_exact,u_uniform,u_radapted
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50626566e-03,2.50626566e-03,-6.80726439e-03,2.55767939e-03
5.01253133e-03,5.01253133e-03,-1.29602572e-02,5.11501170e-03
7.51879699e-03,7.51879699e-03,-1.84589785e-02,7.67199692e-03
1.00250627e-02,1.00250627e-02,-2.33034283e-02,1.02286351e-02
1.25313283e-02,1.25313283e-02,-2.74936065e-02,1.27849261e-02
1.50375940e-02,1.50375940e-02,-3.10295131e-02,1.53408701e-02
1.75438596e-02,1.75438596e-02,-3.39111483e-02,1.78964670e-02
2.00501253e-02,2.00501253e-02,-3.61385118e-02,2.04517168e-02
2.25563910e-02,2.25563910e-02,-3.77116039e-02,2.30066195e-02
2.50626566e-02,2.50626566e-02,-3.86304244e-02,2.55611751e-02
2.75689223e-02,2.75689223e-02,-3.88949733e-02,2.81153836e-02
3.00751880e-02,3.00751880e-02,-3.85052507e-02,3.06692451e-02
3.25814536e-02,3.25814536e-02,-3.74612565e-02,3.32227595e-02
3.50877193e-02,3.50877193e-02,-3.57629908e-02,3.57759268e-02
3.75939850e-02,3.75939850e-02,-3.34104536e-02,3.83287470e-02
4.01002506e-02,4.01002506e-02,-3.04036448e-02,4.08812201e-02
4.26065163e-02,4.26065163e-02,-2.67425645e-02,4.34333461e-02
4.51127820e-02,4.51127820e-02,-2.24272126e-02,4.59851251e-02
4.76190476e-02,4.76190476e-02,-1.74575892e-02,4.85365569e-02
5.01253133e-02,5.01253133e-02,-1.18336942e-02,5.10876417e-02
5.26315789e-02,5.26315789e-02,-5.55552773e-03,5.36383794e-02
5.51378446e-02,5.51378446e-02,1.37691032e-03,5.61887700e-02
5.76441103e-02,5.76441103e-02,8.96361992e-03,5.87388135e-02
6.01503759e-02,6.01503759e-02,1.72046011e-02,6.12885100e-02
6.26566416e-02,6.26566416e-02,2.60974854e-02,6.38378593e-02
6.51629073e-02,6.51629073e-02,3.49649326e-02,6.63868616e-02
6.76691729e-02,6.76691729e-02,4.32740698e-02,6.89355168e-02
7.01754386e-02,7.01754386e-02,5.10248972e-02,7.14838249e-02
7.26817043e-02,7.26817043e-02,5.82174146e-02,7.40317859e-02
7.51879699e-02,7.51879699e-02,6.48516221e-02,7.65793998e-02
7.76942356e-02,7.76942356e-02,7.09275197e-02,7.91266667e-02
8.02005013e-02,8.02005013e-02,7.64451074e-02,8.16735864e-02
8.27067669e-02,8.27067669e-02,8.14043852e-02,8.42201591e-02
8.52130326e-02,8.52130326e-02,8.58053531e-02,8.67663847e-02
8.77192982e-02,8.77192982e-02,8.96480110e-02,8.93122632e-02
9.02255639e-02,9.02255639e-02,9.29323591e-02,9.18577946e-02
9.27318296e-02,9.27318296e-02,9.56583972e-02,9.44029789e-02
9.52380952e-02,9.52380952e-02,9.78261254e-02,9.69478162e-02
9.77443609e-02,9.77443609e-02,9.94355438e-02,9.94923064e-02
1.00250627e-01,1.00250627e-01,1.00486652e-01,1.02036449e-01
1.02756892e-01,1.02756892e-01,1.00979451e-01,1.04580245e-01
1.05263158e-01,1.05263158e-01,1.00913939e-01,1.07123694e-01
1.07769424e-01,1.07769424e-01,1.00290118e-01,1.09666796e-01
1.10275689e-01,1.10275689e-01,9.91079866e-02,1.12209551e-01
1.12781955e-01,1.12781955e-01,9.73675455e-02,1.14751959e-01
1.15288221e-01,1.15288221e-01,9.50687944e-02,1.17294019e-01
1.17794486e-01,1.17794486e-01,9.22117334e-02,1.19835733e-01
1.20300752e-01,1.20300752e-01,8.87963626e-02,1.22377099e-01
1.22807018e-01,1.22807018e-01,8.48226818e-02,1.24918118e-01
1.25313283e-01,1.25313283e-01,8.02999675e-02,1.27458791e-01
1.27819549e-01,1.27819549e-01,7.59517804e-02,1.29999116e-01
1.30325815e-01,1.30325815e-01,7.22326651e-02,1.32539094e-01
1.32832080e-01,1.32832080e-01,6.91426216e-02,1.35078725e-01
1.35338346e-01,1.35338346e-01,6.66816499e-02,1.37618009e-01
1.37844612e-01,1.37844612e-01,6.48497500e-02,1.40156945e-01
1.40350877e-01,1.40350877e-01,6.36469218e-02,1.42695535e-01
