x,u_radapted
0.00000000e+00,0.00000000e+00
2.38222406e-01,2.37781751e-01
5.78353506e-01,5.77521186e-01
7.24350590e-01,7.14996465e-01
7.94278766e-01,7.63460959e-01
8.38065415e-01,7.73193892e-01
8.69491036e-01,7.58951658e-01
8.93593023e-01,7.27352106e-01
9.12889745e-01,6.82515745e-01
9.28838324e-01,6.27249642e-01
9.42345366e-01,5.63555879e-01
9.54009977e-01,4.92890797e-01
9.64255678e-01,4.16245544e-01
9.73402501e-01,3.34133260e-01
9.81702931e-01,2.46584129e-01
9.89357596e-01,1.53206612e-01
9.96522805e-01,5.33023773e-02
1.00000000e+00,0.00000000e+00
