x,u_uniform
0.00000000e+00,0.00000000e+00
3.12500000e-02,-3.80973429e-02
9.37500000e-02,9.66063720e-02
1.56250000e-01,7.06697374e-02
2.18750000e-01,2.37632572e-01
2.81250000e-01,1.77807672e-01
3.43750000e-01,3.84027682e-01
4.06250000e-01,2.78220001e-01
4.68750000e-01,5.38359911e-01
5.31250000e-01,3.69314125e-01
5.93750000e-01,7.03618276e-01
6.56250000e-01,4.47591156e-01
7.18750000e-01,8.83901824e-01
7.81250000e-01,5.08293678e-01
8.43750000e-01,1.08411824e+00
9.06250000e-01,5.54720195e-01
9.68750000e-01,1.17851028e+00
1.00000000e+00,0.00000000e+00
