x,u_radapted
0.00000000e+00,0.00000000e+00
3.35635491e-01,3.39431642e-01
8.16934365e-01,8.17984450e-01
9.71139244e-01,9.71184894e-01
9.82202055e-01,9.56738488e-01
9.86206166e-01,9.25963195e-01
9.88774419e-01,8.86199544e-01
9.90727745e-01,8.37663355e-01
9.92320158e-01,7.80607444e-01
9.93666019e-01,7.15438758e-01
9.94830659e-01,6.42583927e-01
9.95856389e-01,5.62408049e-01
9.96772319e-01,4.75222679e-01
9.97599294e-01,3.81301777e-01
9.98353007e-01,2.80853757e-01
9.99046106e-01,1.73935116e-01
9.99689473e-01,6.03421039e-02
1.00000000e+00,0.00000000e+00
