x,u_exact,u_uniform,u_radapted
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50626566e-03,2.50626531e-03,2.50624949e-03,2.49663901e-03
5.01253133e-03,5.01253059e-03,5.01249893e-03,4.99338415e-03
7.51879699e-03,7.51879584e-03,7.51874832e-03,7.49023542e-03
1.00250627e-02,1.00250611e-02,1.00249977e-02,9.98719281e-03
1.25313283e-02,1.25313262e-02,1.25312469e-02,1.24842563e-02
1.50375940e-02,1.50375914e-02,1.50374962e-02,1.49814260e-02
1.75438596e-02,1.75438565e-02,1.75437454e-02,1.74787018e-02
2.00501253e-02,2.00501216e-02,2.00499945e-02,1.99760837e-02
2.25563910e-02,2.25563866e-02,2.25562436e-02,2.24735717e-02
2.50626566e-02,2.50626516e-02,2.50624926e-02,2.49711658e-02
2.75689223e-02,2.75689165e-02,2.75687416e-02,2.74688661e-02
3.00751880e-02,3.00751814e-02,3.00749905e-02,2.99666725e-02
3.25814536e-02,3.25814462e-02,3.25812394e-02,3.24645851e-02
3.50877193e-02,3.50877110e-02,3.50874883e-02,3.49626037e-02
3.75939850e-02,3.75939757e-02,3.75937370e-02,3.74607285e-02
4.01002506e-02,4.01002404e-02,4.00999858e-02,3.99589594e-02
4.26065163e-02,4.26065049e-02,4.26062344e-02,4.24572965e-02
4.51127820e-02,4.51127694e-02,4.51124831e-02,4.49557396e-02
4.76190476e-02,4.76190339e-02,4.76187317e-02,4.74542889e-02
5.01253133e-02,5.01252982e-02,5.01249802e-02,4.99529443e-02
5.26315789e-02,5.26315625e-02,5.26312287e-02,5.24517059e-02
5.51378446e-02,5.51378267e-02,5.51374771e-02,5.49505736e-02
5.76441103e-02,5.76440908e-02,5.76437255e-02,5.74495474e-02
6.01503759e-02,6.01503548e-02,6.01499738e-02,5.99486273e-02
6.26566416e-02,6.26566187e-02,6.26562220e-02,6.24478134e-02
6.51629073e-02,6.51628825e-02,6.51624702e-02,6.49471055e-02
6.76691729e-02,6.76691461e-02,6.76687181e-02,6.74465038e-02
7.01754386e-02,7.01754097e-02,7.01749657e-02,6.99460083e-02
7.26817043e-02,7.26816731e-02,7.26812131e-02,7.24456188e-02
7.51879699e-02,7.51879364e-02,7.51874603e-02,7.49453355e-02
7.76942356e-02,7.76941995e-02,7.76937073e-02,7.74451583e-02
8.02005013e-02,8.02004625e-02,8.01999540e-02,7.99450873e-02
8.27067669e-02,8.27067254e-02,8.27062005e-02,8.24451224e-02
8.52130326e-02,8.52129880e-02,8.52124467e-02,8.49452636e-02
8.77192982e-02,8.77192505e-02,8.77186928e-02,8.74455109e-02
9.02255639e-02,9.02255128e-02,9.02249386e-02,8.99458643e-02
9.27318296e-02,9.27317750e-02,9.27311841e-02,9.24463239e-02
9.52380952e-02,9.52380369e-02,9.52374294e-02,9.49468896e-02
9.77443609e-02,9.77442986e-02,9.77436745e-02,9.74475614e-02
1.00250627e-01,1.00250560e-01,1.00249919e-01,9.99483394e-02
1.02756892e-01,1.02756821e-01,1.02756164e-01,1.02449223e-01
1.05263158e-01,1.05263082e-01,1.05262408e-01,1.04950214e-01
1.07769424e-01,1.07769343e-01,1.07768653e-01,1.07451310e-01
1.10275689e-01,1.10275604e-01,1.10274896e-01,1.09952512e-01
1.12781955e-01,1.12781864e-01,1.12781140e-01,1.12453821e-01
1.15288221e-01,1.15288124e-01,1.15287384e-01,1.14955236e-01
1.17794486e-01,1.17794383e-01,1.17793627e-01,1.17456757e-01
1.20300752e-01,1.20300642e-01,1.20299870e-01,1.19958384e-01
1.22807018e-01,1.22806901e-01,1.22806113e-01,1.22460117e-01
1.25313283e-01,1.25313160e-01,1.25312355e-01,1.24961956e-01
1.27819549e-01,1.27819418e-01,1.27818597e-01,1.27463901e-01
1.30325815e-01,1.30325675e-01,1.30324839e-01,1.29965953e-01
1.32832080e-01,1.32831933e-01,1.32831079e-01,1.32468110e-01
1.35338346e-01,1.35338190e-01,1.35337320e-01,1.34970374e-01
1.37844612e-01,1.37844446e-01,1.37843559e-01,1.37472744e-01
1.40350877e-01,1.40350702e-01,1.40349798e-01,1.39975220e-01
1.42857143e-01,1.42856957e-01,1.42856036e-01,1.42477802e-01
1.45363409e-01,1.45363212e-01,1.45362274e-01,1.44980490e-01
1.47869674e-01,1.47869466e-01,1.47868511e-01,1.47483285e-01
1.50375940e-01,1.50375720e-01,1.50374748e-01,1.49986185e-01
1.52882206e-01,1.52881973e-01,1.52880983e-01,1.52489192e-01
1.55388471e-01,1.55388225e-01,1.55387219e-01,1.54992304e-01
1.57894737e-01,1.57894476e-01,1.57893453e-01,1.57495523e-01
1.60401003e-01,1.60400727e-01,1.60399687e-01,1.59998848e-01
1.62907268e-01,1.62906977e-01,1.62905921e-01,1.62502279e-01
1.65413534e-01,1.65413226e-01,1.65412153e-01,1.65005817e-01
1.67919799e-01,1.67919475e-01,1.67918385e-01,1.67509460e-01
1.70426065e-01,1.70425722e-01,1.70424617e-01,1.70013210e-01
1.72932331e-01,1.72931969e-01,1.72930848e-01,1.72517065e-01
1.75438596e-01,1.75438215e-01,1.75437078e-01,1.75021027e-01
1.77944862e-01,1.77944459e-01,1.77943307e-01,1.77525095e-01
1.80451128e-01,1.80450703e-01,1.80449536e-01,1.80029269e-01
1.82957393e-01,1.82956945e-01,1.82955765e-01,1.82533549e-01
1.85463659e-01,1.85463186e-01,1.85461992e-01,1.85037935e-01
1.87969925e-01,1.87969426e-01,1.87968220e-01,1.87542428e-01
1.90476190e-01,1.90475664e-01,1.90474445e-01,1.90047026e-01
1.92982456e-01,1.92981902e-01,1.92980668e-01,1.92551731e-01
1.95488722e-01,1.95488137e-01,1.95486888e-01,1.95056542e-01
1.97994987e-01,1.97994372e-01,1.97993106e-01,1.97561459e-01
2.00501253e-01,2.00500604e-01,2.00499321e-01,2.00066482e-01
2.03007519e-01,2.03006835e-01,2.03005534e-01,2.02571611e-01
2.05513784e-01,2.05513065e-01,2.05511744e-01,2.05076846e-01
2.08020050e-01,2.08019292e-01,2.08017952e-01,2.07582187e-01
2.10526316e-01,2.10525518e-01,2.10524158e-01,2.10087635e-01
2.13032581e-01,2.13031741e-01,2.13030361e-01,2.12593189e-01
2.15538847e-01,2.15537962e-01,2.15536561e-01,2.15098848e-01
2.18045113e-01,2.18044182e-01,2.18042759e-01,2.17604614e-01
2.20551378e-01,2.20550399e-01,2.20548955e-01,2.20110486e-01
2.23057644e-01,2.23056613e-01,2.23055148e-01,2.22616464e-01
2.25563910e-01,2.25562825e-01,2.25561339e-01,2.25122549e-01
2.28070175e-01,2.28069034e-01,2.28067527e-01,2.27628739e-01
2.30576441e-01,2.30575241e-01,2.30573713e-01,2.30135036e-01
