x,u_uniform
0.00000000e+00,0.00000000e+00
3.12500000e-02,3.12497947e-02
9.37500000e-02,9.37493463e-02
1.56250000e-01,1.56248737e-01
2.18750000e-01,2.18747627e-01
2.81250000e-01,2.81244808e-01
3.43750000e-01,3.43736886e-01
4.06250000e-01,4.06212507e-01
4.68750000e-01,4.68640401e-01
5.31250000e-01,5.30919647e-01
5.93750000e-01,5.92775915e-01
6.56250000e-01,6.53343905e-01
7.18750000e-01,7.10294571e-01
7.81250000e-01,7.56394506e-01
8.43750000e-01,7.72330105e-01
9.06250000e-01,6.98761878e-01
9.68750000e-01,3.78346786e-01
1.00000000e+00,0.00000000e+00
