0.305200 0.250000
0.305200 0.750000

0.409870 0.250000
0.409870 0.750000

0.469480 0.250000
0.469480 0.750000

0.492667 0.250000
0.492667 0.750000

0.498613 0.250000
0.498613 0.750000

0.500000 0.250000
0.500000 0.750000

0.501462 0.500000
0.501462 0.750000

0.509055 0.500000
0.509055 0.750000

0.543770 0.500000
0.543770 0.750000

0.618779 0.500000
0.618779 0.750000

0.723717 0.500000
0.723717 0.750000

0.250000 0.358749
0.500000 0.358749

0.250000 0.449379
0.500000 0.449379

0.250000 0.489072
0.500000 0.489072

0.250000 0.498255
0.500000 0.498255

0.250000 0.500000
0.750000 0.500000

0.250000 0.501429
0.750000 0.501429

0.250000 0.508182
0.750000 0.508182

0.250000 0.532406
0.750000 0.532406

0.250000 0.586381
0.750000 0.586381

0.250000 0.673240
0.750000 0.673240

