x,y,z,logz
0.387500,0.256250,1.290210e-01,-8.893396e-01
0.393750,0.256250,1.346841e-01,-8.706836e-01
0.400000,0.256250,1.404036e-01,-8.526219e-01
0.406250,0.256250,1.461746e-01,-8.351282e-01
0.412500,0.256250,1.519932e-01,-8.181758e-01
0.418750,0.256250,1.578561e-01,-8.017386e-01
0.425000,0.256250,1.637604e-01,-7.857910e-01
0.431250,0.256250,1.697037e-01,-7.703086e-01
0.437500,0.256250,1.756839e-01,-7.552679e-01
0.443750,0.256250,1.822372e-01,-7.393629e-01
0.450000,0.256250,1.888276e-01,-7.239345e-01
0.456250,0.256250,1.954524e-01,-7.089589e-01
0.462500,0.256250,2.021093e-01,-6.944136e-01
0.468750,0.256250,2.087963e-01,-6.802772e-01
0.475000,0.256250,2.155115e-01,-6.665295e-01
0.481250,0.256250,2.222534e-01,-6.531515e-01
0.487500,0.256250,2.290207e-01,-6.401253e-01
0.493750,0.256250,2.358120e-01,-6.274340e-01
0.500000,0.256250,0.000000e+00,-1.200000e+01
0.506250,0.256250,0.000000e+00,-1.200000e+01
0.512500,0.256250,0.000000e+00,-1.200000e+01
0.518750,0.256250,0.000000e+00,-1.200000e+01
0.525000,0.256250,0.000000e+00,-1.200000e+01
0.531250,0.256250,0.000000e+00,-1.200000e+01
0.537500,0.256250,0.000000e+00,-1.200000e+01
0.543750,0.256250,0.000000e+00,-1.200000e+01
0.550000,0.256250,0.000000e+00,-1.200000e+01
0.556250,0.256250,0.000000e+00,-1.200000e+01
0.562500,0.256250,0.000000e+00,-1.200000e+01
0.568750,0.256250,0.000000e+00,-1.200000e+01
0.575000,0.256250,0.000000e+00,-1.200000e+01
0.581250,0.256250,0.000000e+00,-1.200000e+01
0.587500,0.256250,0.000000e+00,-1.200000e+01
0.593750,0.256250,0.000000e+00,-1.200000e+01
0.600000,0.256250,0.000000e+00,-1.200000e+01
0.606250,0.256250,0.000000e+00,-1.200000e+01
0.612500,0.256250,0.000000e+00,-1.200000e+01
0.618750,0.256250,0.000000e+00,-1.200000e+01
0.625000,0.256250,0.000000e+00,-1.200000e+01
0.631250,0.256250,0.000000e+00,-1.200000e+01
0.637500,0.256250,0.000000e+00,-1.200000e+01
0.643750,0.256250,0.000000e+00,-1.200000e+01
0.650000,0.256250,0.000000e+00,-1.200000e+01
0.656250,0.256250,0.000000e+00,-1.200000e+01
0.662500,0.256250,0.000000e+00,-1.200000e+01
0.668750,0.256250,0.000000e+00,-1.200000e+01
0.675000,0.256250,0.000000e+00,-1.200000e+01
0.681250,0.256250,0.000000e+00,-1.200000e+01
0.687500,0.256250,0.000000e+00,-1.200000e+01
0.693750,0.256250,0.000000e+00,-1.200000e+01
0.700000,0.256250,0.000000e+00,-1.200000e+01
0.706250,0.256250,0.000000e+00,-1.200000e+01
0.712500,0.256250,0.000000e+00,-1.200000e+01
0.718750,0.256250,0.000000e+00,-1.200000e+01
0.725000,0.256250,0.000000e+00,-1.200000e+01
0.731250,0.256250,0.000000e+00,-1.200000e+01
0.737500,0.256250,0.000000e+00,-1.200000e+01
0.743750,0.256250,0.000000e+00,-1.200000e+01
0.750000,0.256250,0.000000e+00,-1.200000e+01
0.250000,0.262500,4.911288e-02,-1.308805e+00
0.256250,0.262500,4.931238e-02,-1.307044e+00
0.262500,0.262500,5.006318e-02,-1.300482e+00
0.268750,0.262500,5.134086e-02,-1.289537e+00
0.275000,0.262500,5.310749e-02,-1.274844e+00
0.281250,0.262500,5.531660e-02,-1.257145e+00
0.287500,0.262500,5.791819e-02,-1.237185e+00
0.293750,0.262500,6.086279e-02,-1.215648e+00
0.300000,0.262500,6.410420e-02,-1.193114e+00
0.306250,0.262500,6.760095e-02,-1.170047e+00
0.312500,0.262500,7.131688e-02,-1.146808e+00
0.318750,0.262500,7.550145e-02,-1.122045e+00
0.325000,0.262500,7.986747e-02,-1.097630e+00
0.331250,0.262500,8.438862e-02,-1.073716e+00
0.337500,0.262500,8.904323e-02,-1.050399e+00
0.343750,0.262500,9.381351e-02,-1.027735e+00
0.350000,0.262500,9.868479e-02,-1.005750e+00
0.356250,0.262500,1.036450e-01,-9.844514e-01
0.362500,0.262500,1.086844e-01,-9.638330e-01
0.368750,0.262500,1.137945e-01,-9.438786e-01
0.375000,0.262500,1.189688e-01,-9.245669e-01
0.381250,0.262500,1.246027e-01,-9.044724e-01
0.387500,0.262500,1.302997e-01,-8.850565e-01
0.393750,0.262500,1.360538e-01,-8.662893e-01
0.400000,0.262500,1.418600e-01,-8.481400e-01
0.406250,0.262500,1.477142e-01,-8.305778e-01
0.412500,0.262500,1.536128e-01,-8.135726e-01
0.418750,0.262500,1.595529e-01,-7.970952e-01
0.425000,0.262500,1.655321e-01,-7.811178e-01
0.431250,0.262500,1.715482e-01,-7.656139e-01
0.437500,0.262500,1.775994e-01,-7.505585e-01
0.443750,0.262500,1.841945e-01,-7.347234e-01
0.450000,0.262500,1.908258e-01,-7.193629e-01
0.456250,0.262500,1.974907e-01,-7.044534e-01
0.462500,0.262500,2.041867e-01,-6.899726e-01
0.468750,0.262500,2.109117e-01,-6.758992e-01
0.475000,0.262500,2.176641e-01,-6.622132e-01
0.481250,0.262500,2.244421e-01,-6.488956e-01
0.487500,0.262500,2.312445e-01,-6.359286e-01
0.493750,0.262500,2.380698e-01,-6.232956e-01
0.500000,0.262500,0.000000e+00,-1.200000e+01
0.506250,0.262500,0.000000e+00,-1.200000e+01
0.512500,0.262500,0.000000e+00,-1.200000e+01
0.518750,0.262500,0.000000e+00,-1.200000e+01
0.525000,0.262500,0.000000e+00,-1.200000e+01
0.531250,0.262500,0.000000e+00,-1.200000e+01
0.537500,0.262500,0.000000e+00,-1.200000e+01
0.543750,0.262500,0.000000e+00,-1.200000e+01
0.550000,0.262500,0.000000e+00,-1.200000e+01
0.556250,0.262500,0.000000e+00,-1.200000e+01
0.562500,0.262500,0.000000e+00,-1.200000e+01
0.568750,0.262500,0.000000e+00,-1.200000e+01
0.575000,0.262500,0.000000e+00,-1.200000e+01
0.581250,0.262500,0.000000e+00,-1.200000e+01
0.587500,0.262500,0.000000e+00,-1.200000e+01
0.593750,0.262500,0.000000e+00,-1.200000e+01
0.600000,0.262500,0.000000e+00,-1.200000e+01
0.606250,0.262500,0.000000e+00,-1.200000e+01
0.612500,0.262500,0.000000e+00,-1.200000e+01
0.618750,0.262500,0.000000e+00,-1.200000e+01
0.625000,0.262500,0.000000e+00,-1.200000e+01
0.631250,0.262500,0.000000e+00,-1.200000e+01
0.637500,0.262500,0.000000e+00,-1.200000e+01
0.643750,0.262500,0.000000e+00,-1.200000e+01
0.650000,0.262500,0.000000e+00,-1.200000e+01
0.656250,0.262500,0.000000e+00,-1.200000e+01
0.662500,0.262500,0.000000e+00,-1.200000e+01
0.668750,0.262500,0.000000e+00,-1.200000e+01
0.675000,0.262500,0.000000e+00,-1.200000e+01
0.681250,0.262500,0.000000e+00,-1.200000e+01
0.687500,0.262500,0.000000e+00,-1.200000e+01
0.693750,0.262500,0.000000e+00,-1.200000e+01
0.700000,0.262500,0.000000e+00,-1.200000e+01
0.706250,0.262500,0.000000e+00,-1.200000e+01
0.712500,0.262500,0.000000e+00,-1.200000e+01
0.718750,0.262500,0.000000e+00,-1.200000e+01
0.725000,0.262500,0.000000e+00,-1.200000e+01
0.731250,0.262500,0.000000e+00,-1.200000e+01
0.737500,0.262500,0.000000e+00,-1.200000e+01
0.743750,0.262500,0.000000e+00,-1.200000e+01
0.750000,0.262500,0.000000e+00,-1.200000e+01
0.250000,0.268750,4.780953e-02,-1.320486e+00
0.256250,0.268750,4.801285e-02,-1.318643e+00
0.262500,0.268750,4.880210e-02,-1.311561e+00
0.268750,0.268750,5.014932e-02,-1.299735e+00
0.275000,0.268750,5.201115e-02,-1.283904e+00
0.281250,0.268750,5.433500e-02,-1.264920e+00
0.287500,0.268750,5.706496e-02,-1.243630e+00
0.293750,0.268750,6.014652e-02,-1.220790e+00
0.300000,0.268750,6.352946e-02,-1.197025e+00
0.306250,0.268750,6.716939e-02,-1.172829e+00
0.312500,0.268750,7.102807e-02,-1.148570e+00
0.318750,0.268750,7.536080e-02,-1.122855e+00
0.325000,0.268750,7.987223e-02,-1.097604e+00
0.331250,0.268750,8.453547e-02,-1.072961e+00
0.337500,0.268750,8.932855e-02,-1.049010e+00
0.343750,0.268750,9.423355e-02,-1.025794e+00
0.350000,0.268750,9.923583e-02,-1.003331e+00
0.356250,0.268750,1.043234e-01,-9.816181e-01
0.362500,0.268750,1.094865e-01,-9.606392e-01
0.368750,0.268750,1.147171e-01,-9.403718e-01
0.375000,0.268750,1.200085e-01,-9.207880e-01
0.381250,0.268750,1.257456e-01,-9.005071e-01
0.387500,0.268750,1.315407e-01,-8.809399e-01
0.393750,0.268750,1.373884e-01,-8.620499e-01
0.400000,0.268750,1.432843e-01,-8.438014e-01
0.406250,0.268750,1.492247e-01,-8.261592e-01
0.412500,0.268750,1.552066e-01,-8.090897e-01
0.418750,0.268750,1.612274e-01,-7.925611e-01
0.425000,0.268750,1.672849e-01,-7.765431e-01
0.431250,0.268750,1.733774e-01,-7.610075e-01
0.437500,0.268750,1.795034e-01,-7.459274e-01
0.443750,0.268750,1.861365e-01,-7.301685e-01
0.450000,0.268750,1.928050e-01,-7.148818e-01
0.456250,0.268750,1.995061e-01,-7.000439e-01
0.462500,0.268750,2.062374e-01,-6.856326e-01
0.468750,0.268750,2.129969e-01,-6.716267e-01
0.475000,0.268750,2.197827e-01,-6.580065e-01
0.481250,0.268750,2.265932e-01,-6.447531e-01
0.487500,0.268750,2.334270e-01,-6.318489e-01
0.493750,0.268750,2.402828e-01,-6.192773e-01
0.500000,0.268750,0.000000e+00,-1.200000e+01
0.506250,0.268750,0.000000e+00,-1.200000e+01
0.512500,0.268750,0.000000e+00,-1.200000e+01
0.518750,0.268750,0.000000e+00,-1.200000e+01
0.525000,0.268750,0.000000e+00,-1.200000e+01
0.531250,0.268750,0.000000e+00,-1.200000e+01
0.537500,0.268750,0.000000e+00,-1.200000e+01
0.543750,0.268750,0.000000e+00,-1.200000e+01
0.550000,0.268750,0.000000e+00,-1.200000e+01
0.556250,0.268750,0.000000e+00,-1.200000e+01
0.562500,0.268750,0.000000e+00,-1.200000e+01
0.568750,0.268750,0.000000e+00,-1.200000e+01
0.575000,0.268750,0.000000e+00,-1.200000e+01
0.581250,0.268750,0.000000e+00,-1.200000e+01
0.587500,0.268750,0.000000e+00,-1.200000e+01
0.593750,0.268750,0.000000e+00,-1.200000e+01
0.600000,0.268750,0.000000e+00,-1.200000e+01
0.606250,0.268750,0.000000e+00,-1.200000e+01
0.612500,0.268750,0.000000e+00,-1.200000e+01
0.618750,0.268750,0.000000e+00,-1.200000e+01
0.625000,0.268750,0.000000e+00,-1.200000e+01
0.631250,0.268750,0.000000e+00,-1.200000e+01
0.637500,0.268750,0.000000e+00,-1.200000e+01
0.643750,0.268750,0.000000e+00,-1.200000e+01
0.650000,0.268750,0.000000e+00,-1.200000e+01
0.656250,0.268750,0.000000e+00,-1.200000e+01
0.662500,0.268750,0.000000e+00,-1.200000e+01
0.668750,0.268750,0.000000e+00,-1.200000e+01
0.675000,0.268750,0.000000e+00,-1.200000e+01
0.681250,0.268750,0.000000e+00,-1.200000e+01
0.687500,0.268750,0.000000e+00,-1.200000e+01
0.693750,0.268750,0.000000e+00,-1.200000e+01
0.700000,0.268750,0.000000e+00,-1.200000e+01
0.706250,0.268750,0.000000e+00,-1.200000e+01
0.712500,0.268750,0.000000e+00,-1.200000e+01
0.718750,0.268750,0.000000e+00,-1.200000e+01
0.725000,0.268750,0.000000e+00,-1.200000e+01
0.731250,0.268750,0.000000e+00,-1.200000e+01
0.737500,0.268750,0.000000e+00,-1.200000e+01
0.743750,0.268750,0.000000e+00,-1.200000e+01
0.750000,0.268750,0.000000e+00,-1.200000e+01
0.250000,0.275000,4.650818e-02,-1.332471e+00
0.256250,0.275000,4.671211e-02,-1.330571e+00
0.262500,0.275000,4.753831e-02,-1.322956e+00
0.268750,0.275000,4.895490e-02,-1.310204e+00
0.275000,0.275000,5.091252e-02,-1.293175e+00
0.281250,0.275000,5.335186e-02,-1.272850e+00
0.287500,0.275000,5.621065e-02,-1.250181e+00
0.293750,0.275000,5.942905e-02,-1.226001e+00
0.300000,0.275000,6.295277e-02,-1.200985e+00
0.306250,0.275000,6.673447e-02,-1.175650e+00
0.312500,0.275000,7.073395e-02,-1.150372e+00
0.318750,0.275000,7.521187e-02,-1.123714e+00
0.325000,0.275000,7.986536e-02,-1.097642e+00
0.331250,0.275000,8.466704e-02,-1.072286e+00
0.337500,0.275000,8.959473e-02,-1.047718e+00
0.343750,0.275000,9.463048e-02,-1.023969e+00
0.350000,0.275000,9.975975e-02,-1.001045e+00
0.356250,0.275000,1.049707e-01,-9.789320e-01
0.362500,0.275000,1.102536e-01,-9.576072e-01
0.368750,0.275000,1.156006e-01,-9.370398e-01
0.375000,0.275000,1.210053e-01,-9.171957e-01
0.381250,0.275000,1.268478e-01,-8.967171e-01
0.387500,0.275000,1.327435e-01,-8.769868e-01
0.393750,0.275000,1.386876e-01,-8.579625e-01
0.400000,0.275000,1.446762e-01,-8.396030e-01
0.406250,0.275000,1.507060e-01,-8.218694e-01
0.412500,0.275000,1.567745e-01,-8.047246e-01
0.418750,0.275000,1.628794e-01,-7.881339e-01
0.425000,0.275000,1.690189e-01,-7.720648e-01
0.431250,0.275000,1.751914e-01,-7.564872e-01
0.437500,0.275000,1.813958e-01,-7.413728e-01
0.443750,0.275000,1.880632e-01,-7.256963e-01
0.450000,0.275000,1.947650e-01,-7.104891e-01
0.456250,0.275000,2.014986e-01,-6.957280e-01
0.462500,0.275000,2.082615e-01,-6.813909e-01
0.468750,0.275000,2.150517e-01,-6.674571e-01
0.475000,0.275000,2.218673e-01,-6.539067e-01
0.481250,0.275000,2.287066e-01,-6.407213e-01
0.487500,0.275000,2.355683e-01,-6.278832e-01
0.493750,0.275000,2.424510e-01,-6.153761e-01
0.500000,0.275000,0.000000e+00,-1.200000e+01
0.506250,0.275000,0.000000e+00,-1.200000e+01
0.512500,0.275000,0.000000e+00,-1.200000e+01
0.518750,0.275000,0.000000e+00,-1.200000e+01
0.525000,0.275000,0.000000e+00,-1.200000e+01
0.531250,0.275000,0.000000e+00,-1.200000e+01
0.537500,0.275000,0.000000e+00,-1.200000e+01
0.543750,0.275000,0.000000e+00,-1.200000e+01
0.550000,0.275000,0.000000e+00,-1.200000e+01
0.556250,0.275000,0.000000e+00,-1.200000e+01
0.562500,0.275000,0.000000e+00,-1.200000e+01
0.568750,0.275000,0.000000e+00,-1.200000e+01
0.575000,0.275000,0.000000e+00,-1.200000e+01
0.581250,0.275000,0.000000e+00,-1.200000e+01
0.587500,0.275000,0.000000e+00,-1.200000e+01
0.593750,0.275000,0.000000e+00,-1.200000e+01
