x,y,z,logz
0.387500,0.256250,1.292803e-01,-8.884678e-01
0.393750,0.256250,1.348160e-01,-8.702586e-01
0.400000,0.256250,1.404389e-01,-8.525126e-01
0.406250,0.256250,1.461459e-01,-8.352133e-01
0.412500,0.256250,1.519470e-01,-8.183079e-01
0.418750,0.256250,1.578501e-01,-8.017552e-01
0.425000,0.256250,1.638541e-01,-7.855427e-01
0.431250,0.256250,1.699578e-01,-7.696589e-01
0.437500,0.256250,1.761597e-01,-7.540935e-01
0.443750,0.256250,1.824579e-01,-7.388373e-01
0.450000,0.256250,1.888505e-01,-7.238817e-01
0.456250,0.256250,1.953355e-01,-7.092187e-01
0.462500,0.256250,2.019106e-01,-6.948408e-01
0.468750,0.256250,2.085735e-01,-6.807409e-01
0.475000,0.256250,2.153175e-01,-6.669207e-01
0.481250,0.256250,2.220583e-01,-6.535330e-01
0.487500,0.256250,2.287612e-01,-6.406177e-01
0.493750,0.256250,2.354266e-01,-6.281445e-01
0.500000,0.256250,0.000000e+00,-1.200000e+01
0.506250,0.256250,0.000000e+00,-1.200000e+01
0.512500,0.256250,0.000000e+00,-1.200000e+01
0.518750,0.256250,0.000000e+00,-1.200000e+01
0.525000,0.256250,0.000000e+00,-1.200000e+01
0.531250,0.256250,0.000000e+00,-1.200000e+01
0.537500,0.256250,0.000000e+00,-1.200000e+01
0.543750,0.256250,0.000000e+00,-1.200000e+01
0.550000,0.256250,0.000000e+00,-1.200000e+01
0.556250,0.256250,0.000000e+00,-1.200000e+01
0.562500,0.256250,0.000000e+00,-1.200000e+01
0.568750,0.256250,0.000000e+00,-1.200000e+01
0.575000,0.256250,0.000000e+00,-1.200000e+01
0.581250,0.256250,0.000000e+00,-1.200000e+01
0.587500,0.256250,0.000000e+00,-1.200000e+01
0.593750,0.256250,0.000000e+00,-1.200000e+01
0.600000,0.256250,0.000000e+00,-1.200000e+01
0.606250,0.256250,0.000000e+00,-1.200000e+01
0.612500,0.256250,0.000000e+00,-1.200000e+01
0.618750,0.256250,0.000000e+00,-1.200000e+01
0.625000,0.256250,0.000000e+00,-1.200000e+01
0.631250,0.256250,0.000000e+00,-1.200000e+01
0.637500,0.256250,0.000000e+00,-1.200000e+01
0.643750,0.256250,0.000000e+00,-1.200000e+01
0.650000,0.256250,0.000000e+00,-1.200000e+01
0.656250,0.256250,0.000000e+00,-1.200000e+01
0.662500,0.256250,0.000000e+00,-1.200000e+01
0.668750,0.256250,0.000000e+00,-1.200000e+01
0.675000,0.256250,0.000000e+00,-1.200000e+01
0.681250,0.256250,0.000000e+00,-1.200000e+01
0.687500,0.256250,0.000000e+00,-1.200000e+01
0.693750,0.256250,0.000000e+00,-1.200000e+01
0.700000,0.256250,0.000000e+00,-1.200000e+01
0.706250,0.256250,0.000000e+00,-1.200000e+01
0.712500,0.256250,0.000000e+00,-1.200000e+01
0.718750,0.256250,0.000000e+00,-1.200000e+01
0.725000,0.256250,0.000000e+00,-1.200000e+01
0.731250,0.256250,0.000000e+00,-1.200000e+01
0.737500,0.256250,0.000000e+00,-1.200000e+01
0.743750,0.256250,0.000000e+00,-1.200000e+01
0.750000,0.256250,0.000000e+00,-1.200000e+01
0.250000,0.262500,4.948173e-02,-1.305555e+00
0.256250,0.262500,4.962958e-02,-1.304259e+00
0.262500,0.262500,5.030447e-02,-1.298393e+00
0.268750,0.262500,5.149690e-02,-1.288219e+00
0.275000,0.262500,5.318332e-02,-1.274225e+00
0.281250,0.262500,5.532975e-02,-1.257041e+00
0.287500,0.262500,5.789607e-02,-1.237351e+00
0.293750,0.262500,6.083999e-02,-1.215811e+00
0.300000,0.262500,6.412011e-02,-1.193006e+00
0.306250,0.262500,6.769789e-02,-1.169425e+00
0.312500,0.262500,7.153872e-02,-1.145459e+00
0.318750,0.262500,7.561230e-02,-1.121408e+00
0.325000,0.262500,7.989254e-02,-1.097494e+00
0.331250,0.262500,8.435720e-02,-1.073878e+00
0.337500,0.262500,8.898752e-02,-1.050671e+00
0.343750,0.262500,9.376767e-02,-1.027947e+00
0.350000,0.262500,9.868439e-02,-1.005752e+00
0.356250,0.262500,1.037265e-01,-9.841102e-01
0.362500,0.262500,1.088847e-01,-9.630331e-01
0.368750,0.262500,1.141511e-01,-9.425199e-01
0.375000,0.262500,1.195190e-01,-9.225629e-01
0.381250,0.262500,1.249829e-01,-9.031492e-01
0.387500,0.262500,1.305381e-01,-8.842627e-01
0.393750,0.262500,1.361805e-01,-8.658850e-01
0.400000,0.262500,1.419068e-01,-8.479968e-01
0.406250,0.262500,1.477141e-01,-8.305780e-01
0.412500,0.262500,1.536081e-01,-8.135860e-01
0.418750,0.262500,1.595934e-01,-7.969850e-01
0.425000,0.262500,1.656692e-01,-7.807581e-01
0.431250,0.262500,1.718343e-01,-7.648901e-01
0.437500,0.262500,1.780873e-01,-7.493671e-01
0.443750,0.262500,1.844265e-01,-7.341768e-01
0.450000,0.262500,1.908501e-01,-7.193077e-01
0.456250,0.262500,1.973562e-01,-7.047493e-01
0.462500,0.262500,2.039427e-01,-6.904919e-01
0.468750,0.262500,2.106074e-01,-6.765264e-01
0.475000,0.262500,2.173462e-01,-6.628479e-01
0.481250,0.262500,2.241205e-01,-6.495183e-01
0.487500,0.262500,2.309136e-01,-6.365505e-01
0.493750,0.262500,2.377254e-01,-6.239243e-01
0.500000,0.262500,0.000000e+00,-1.200000e+01
0.506250,0.262500,0.000000e+00,-1.200000e+01
0.512500,0.262500,0.000000e+00,-1.200000e+01
0.518750,0.262500,0.000000e+00,-1.200000e+01
0.525000,0.262500,0.000000e+00,-1.200000e+01
0.531250,0.262500,0.000000e+00,-1.200000e+01
0.537500,0.262500,0.000000e+00,-1.200000e+01
0.543750,0.262500,0.000000e+00,-1.200000e+01
0.550000,0.262500,0.000000e+00,-1.200000e+01
0.556250,0.262500,0.000000e+00,-1.200000e+01
0.562500,0.262500,0.000000e+00,-1.200000e+01
0.568750,0.262500,0.000000e+00,-1.200000e+01
0.575000,0.262500,0.000000e+00,-1.200000e+01
0.581250,0.262500,0.000000e+00,-1.200000e+01
0.587500,0.262500,0.000000e+00,-1.200000e+01
0.593750,0.262500,0.000000e+00,-1.200000e+01
0.600000,0.262500,0.000000e+00,-1.200000e+01
0.606250,0.262500,0.000000e+00,-1.200000e+01
0.612500,0.262500,0.000000e+00,-1.200000e+01
0.618750,0.262500,0.000000e+00,-1.200000e+01
0.625000,0.262500,0.000000e+00,-1.200000e+01
0.631250,0.262500,0.000000e+00,-1.200000e+01
0.637500,0.262500,0.000000e+00,-1.200000e+01
0.643750,0.262500,0.000000e+00,-1.200000e+01
0.650000,0.262500,0.000000e+00,-1.200000e+01
0.656250,0.262500,0.000000e+00,-1.200000e+01
0.662500,0.262500,0.000000e+00,-1.200000e+01
0.668750,0.262500,0.000000e+00,-1.200000e+01
0.675000,0.262500,0.000000e+00,-1.200000e+01
0.681250,0.262500,0.000000e+00,-1.200000e+01
0.687500,0.262500,0.000000e+00,-1.200000e+01
0.693750,0.262500,0.000000e+00,-1.200000e+01
0.700000,0.262500,0.000000e+00,-1.200000e+01
0.706250,0.262500,0.000000e+00,-1.200000e+01
0.712500,0.262500,0.000000e+00,-1.200000e+01
0.718750,0.262500,0.000000e+00,-1.200000e+01
0.725000,0.262500,0.000000e+00,-1.200000e+01
0.731250,0.262500,0.000000e+00,-1.200000e+01
0.737500,0.262500,0.000000e+00,-1.200000e+01
0.743750,0.262500,0.000000e+00,-1.200000e+01
0.750000,0.262500,0.000000e+00,-1.200000e+01
0.250000,0.268750,4.810222e-02,-1.317835e+00
0.256250,0.268750,4.825318e-02,-1.316474e+00
0.262500,0.268750,4.896723e-02,-1.310094e+00
0.268750,0.268750,5.023184e-02,-1.299021e+00
0.275000,0.268750,5.201829e-02,-1.283844e+00
0.281250,0.268750,5.428639e-02,-1.265309e+00
0.287500,0.268750,5.698977e-02,-1.244203e+00
0.293750,0.268750,6.008054e-02,-1.221266e+00
0.300000,0.268750,6.351275e-02,-1.197139e+00
0.306250,0.268750,6.724441e-02,-1.172344e+00
0.312500,0.268750,7.123844e-02,-1.147286e+00
0.318750,0.268750,7.546286e-02,-1.122267e+00
0.325000,0.268750,7.989052e-02,-1.097505e+00
0.331250,0.268750,8.449857e-02,-1.073151e+00
0.337500,0.268750,8.926792e-02,-1.049305e+00
0.343750,0.268750,9.418265e-02,-1.026029e+00
0.350000,0.268750,9.922952e-02,-1.003359e+00
0.356250,0.268750,1.043975e-01,-9.813099e-01
0.362500,0.268750,1.096774e-01,-9.598830e-01
0.368750,0.268750,1.150615e-01,-9.390700e-01
0.375000,0.268750,1.205434e-01,-9.188566e-01
0.381250,0.268750,1.261177e-01,-8.992240e-01
0.387500,0.268750,1.317799e-01,-8.801508e-01
0.393750,0.268750,1.375262e-01,-8.616145e-01
0.400000,0.268750,1.433534e-01,-8.435920e-01
0.406250,0.268750,1.492588e-01,-8.260601e-01
0.412500,0.268750,1.552437e-01,-8.089861e-01
0.418750,0.268750,1.613096e-01,-7.923398e-01
0.425000,0.268750,1.674557e-01,-7.761001e-01
0.431250,0.268750,1.736809e-01,-7.602480e-01
0.437500,0.268750,1.799838e-01,-7.447665e-01
0.443750,0.268750,1.863631e-01,-7.296400e-01
0.450000,0.268750,1.928170e-01,-7.148546e-01
0.456250,0.268750,1.993438e-01,-7.003972e-01
0.462500,0.268750,2.059416e-01,-6.862559e-01
0.468750,0.268750,2.126083e-01,-6.724198e-01
0.475000,0.268750,2.193424e-01,-6.588774e-01
0.481250,0.268750,2.261532e-01,-6.455973e-01
0.487500,0.268750,2.330424e-01,-6.325650e-01
0.493750,0.268750,2.400100e-01,-6.197708e-01
0.500000,0.268750,0.000000e+00,-1.200000e+01
0.506250,0.268750,0.000000e+00,-1.200000e+01
0.512500,0.268750,0.000000e+00,-1.200000e+01
0.518750,0.268750,0.000000e+00,-1.200000e+01
0.525000,0.268750,0.000000e+00,-1.200000e+01
0.531250,0.268750,0.000000e+00,-1.200000e+01
0.537500,0.268750,0.000000e+00,-1.200000e+01
0.543750,0.268750,0.000000e+00,-1.200000e+01
0.550000,0.268750,0.000000e+00,-1.200000e+01
0.556250,0.268750,0.000000e+00,-1.200000e+01
0.562500,0.268750,0.000000e+00,-1.200000e+01
0.568750,0.268750,0.000000e+00,-1.200000e+01
0.575000,0.268750,0.000000e+00,-1.200000e+01
0.581250,0.268750,0.000000e+00,-1.200000e+01
0.587500,0.268750,0.000000e+00,-1.200000e+01
0.593750,0.268750,0.000000e+00,-1.200000e+01
0.600000,0.268750,0.000000e+00,-1.200000e+01
0.606250,0.268750,0.000000e+00,-1.200000e+01
0.612500,0.268750,0.000000e+00,-1.200000e+01
0.618750,0.268750,0.000000e+00,-1.200000e+01
0.625000,0.268750,0.000000e+00,-1.200000e+01
0.631250,0.268750,0.000000e+00,-1.200000e+01
0.637500,0.268750,0.000000e+00,-1.200000e+01
0.643750,0.268750,0.000000e+00,-1.200000e+01
0.650000,0.268750,0.000000e+00,-1.200000e+01
0.656250,0.268750,0.000000e+00,-1.200000e+01
0.662500,0.268750,0.000000e+00,-1.200000e+01
0.668750,0.268750,0.000000e+00,-1.200000e+01
0.675000,0.268750,0.000000e+00,-1.200000e+01
0.681250,0.268750,0.000000e+00,-1.200000e+01
0.687500,0.268750,0.000000e+00,-1.200000e+01
0.693750,0.268750,0.000000e+00,-1.200000e+01
0.700000,0.268750,0.000000e+00,-1.200000e+01
0.706250,0.268750,0.000000e+00,-1.200000e+01
0.712500,0.268750,0.000000e+00,-1.200000e+01
0.718750,0.268750,0.000000e+00,-1.200000e+01
0.725000,0.268750,0.000000e+00,-1.200000e+01
0.731250,0.268750,0.000000e+00,-1.200000e+01
0.737500,0.268750,0.000000e+00,-1.200000e+01
0.743750,0.268750,0.000000e+00,-1.200000e+01
0.750000,0.268750,0.000000e+00,-1.200000e+01
0.250000,0.275000,4.676402e-02,-1.330088e+00
0.256250,0.275000,4.691703e-02,-1.328670e+00
0.262500,0.275000,4.767010e-02,-1.321754e+00
0.268750,0.275000,4.900733e-02,-1.309739e+00
0.275000,0.275000,5.089436e-02,-1.293330e+00
0.281250,0.275000,5.328427e-02,-1.273401e+00
0.287500,0.275000,5.612407e-02,-1.250851e+00
0.293750,0.275000,5.936014e-02,-1.226505e+00
0.300000,0.275000,6.294198e-02,-1.201060e+00
0.306250,0.275000,6.682426e-02,-1.175066e+00
0.312500,0.275000,7.096762e-02,-1.148940e+00
0.318750,0.275000,7.533859e-02,-1.122982e+00
0.325000,0.275000,7.990913e-02,-1.097404e+00
0.331250,0.275000,8.465592e-02,-1.072343e+00
0.337500,0.275000,8.955967e-02,-1.047887e+00
0.343750,0.275000,9.460446e-02,-1.024088e+00
0.350000,0.275000,9.977711e-02,-1.000969e+00
0.356250,0.275000,1.050668e-01,-9.785346e-01
0.362500,0.275000,1.104644e-01,-9.567775e-01
0.368750,0.275000,1.159626e-01,-9.356819e-01
0.375000,0.275000,1.215552e-01,-9.152265e-01
0.381250,0.275000,1.272369e-01,-8.953870e-01
0.387500,0.275000,1.330034e-01,-8.761373e-01
0.393750,0.275000,1.388512e-01,-8.574505e-01
0.400000,0.275000,1.447771e-01,-8.393000e-01
0.406250,0.275000,1.507788e-01,-8.216597e-01
0.412500,0.275000,1.568531e-01,-8.045068e-01
0.418750,0.275000,1.629985e-01,-7.878165e-01
0.425000,0.275000,1.692140e-01,-7.715638e-01
0.431250,0.275000,1.754987e-01,-7.557261e-01
0.437500,0.275000,1.818514e-01,-7.402832e-01
0.443750,0.275000,1.882709e-01,-7.252168e-01
0.450000,0.275000,1.947556e-01,-7.105101e-01
0.456250,0.275000,2.013039e-01,-6.961479e-01
0.462500,0.275000,2.079140e-01,-6.821163e-01
0.468750,0.275000,2.145841e-01,-6.684024e-01
0.475000,0.275000,2.213154e-01,-6.549883e-01
0.481250,0.275000,2.281654e-01,-6.417502e-01
0.487500,0.275000,2.351548e-01,-6.286462e-01
0.493750,0.275000,2.422829e-01,-6.156773e-01
0.500000,0.275000,0.000000e+00,-1.200000e+01
0.506250,0.275000,0.000000e+00,-1.200000e+01
0.512500,0.275000,0.000000e+00,-1.200000e+01
0.518750,0.275000,0.000000e+00,-1.200000e+01
0.525000,0.275000,0.000000e+00,-1.200000e+01
0.531250,0.275000,0.000000e+00,-1.200000e+01
0.537500,0.275000,0.000000e+00,-1.200000e+01
0.543750,0.275000,0.000000e+00,-1.200000e+01
0.550000,0.275000,0.000000e+00,-1.200000e+01
0.556250,0.275000,0.000000e+00,-1.200000e+01
0.562500,0.275000,0.000000e+00,-1.200000e+01
0.568750,0.275000,0.000000e+00,-1.200000e+01
0.575000,0.275000,0.000000e+00,-1.200000e+01
0.581250,0.275000,0.000000e+00,-1.200000e+01
0.587500,0.275000,0.000000e+00,-1.200000e+01
0.593750,0.275000,0.000000e+00,-1.200000e+01
0.600000,0.275000,0.000000e+00,-1.200000e+01
0.606250,0.275000,0.000000e+00,-1.200000e+01
0.612500,0.275000,0.000000e+00,-1.200000e+01
0.618750,0.275000,0.000000e+00,-1.200000e+01
0.625000,0.275000,0.000000e+00,-1.200000e+01
0.631250,0.275000,0.000000e+00,-1.200000e+01
0.637500,0.275000,0.000000e+00,-1.200000e+01
0.643750,0.275000,0.000000e+00,-1.200000e+01
0.650000,0.275000,0.000000e+00,-1.200000e+01
0.656250,0.275000,0.000000e+00,-1.200000e+01
0.662500,0.275000,0.000000e+00,-1.200000e+01
0.668750,0.275000,0.000000e+00,-1.200000e+01
0.675000,0.275000,0.000000e+00,-1.200000e+01
0.681250,0.275000,0.000000e+00,-1.200000e+01
