# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u* (H1-seminorm, q=20)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
4,112,2.386390e-01,2.326380e-01,2.306816e-01
4,113,2.384813e-01,2.473380e-01,2.350533e-01
4,114,2.391803e-01,2.333998e-01,2.279425e-01
4,115,2.367325e-01,2.383805e-01,2.182331e-01
4,116,2.374564e-01,2.296582e-01,2.202050e-01
4,117,2.355442e-01,2.294646e-01,2.249820e-01
4,118,2.360078e-01,2.292764e-01,2.189077e-01
4,119,2.340434e-01,2.313821e-01,2.162496e-01
4,120,2.354316e-01,2.282802e-01,2.167865e-01
4,121,2.354020e-01,2.329578e-01,2.144526e-01
4,122,2.361472e-01,2.296312e-01,2.271891e-01
4,123,2.379409e-01,2.284609e-01,2.200012e-01
4,124,2.345060e-01,2.309735e-01,2.168082e-01
4,125,2.353531e-01,2.298530e-01,2.265813e-01
4,126,2.356334e-01,2.321393e-01,2.167160e-01
4,127,2.345590e-01,2.293957e-01,2.166831e-01
4,128,2.334563e-01,2.290833e-01,2.182078e-01
4,129,2.324392e-01,2.287906e-01,2.200988e-01
4,130,2.340996e-01,2.273315e-01,2.171453e-01
4,131,2.336003e-01,2.327950e-01,2.192857e-01
4,132,2.338879e-01,2.279700e-01,2.121203e-01
4,133,2.333064e-01,2.298138e-01,2.211139e-01
4,134,2.325169e-01,2.290284e-01,2.153003e-01
4,135,2.321048e-01,2.312506e-01,2.111637e-01
4,136,2.310638e-01,2.346829e-01,2.170135e-01
4,137,2.327879e-01,2.347600e-01,2.302544e-01
4,138,2.307778e-01,2.266202e-01,2.099466e-01
4,139,2.316533e-01,2.301443e-01,2.196294e-01
4,140,2.316717e-01,2.291752e-01,2.156092e-01
4,141,2.312949e-01,2.294780e-01,2.182189e-01
4,142,2.321451e-01,2.315580e-01,2.158156e-01
4,143,2.301783e-01,2.265580e-01,2.181755e-01
4,144,2.307042e-01,2.263397e-01,2.158479e-01
4,145,2.303253e-01,2.281721e-01,2.147043e-01
4,146,2.308866e-01,2.260790e-01,2.149126e-01
4,147,2.297321e-01,2.267967e-01,2.156916e-01
4,148,2.312814e-01,2.307880e-01,2.160983e-01
4,149,2.314432e-01,2.344036e-01,2.195792e-01
4,150,2.298274e-01,2.250932e-01,2.170992e-01
4,151,2.292697e-01,2.289734e-01,2.170067e-01
4,152,2.303442e-01,2.318180e-01,2.190778e-01
4,153,2.292674e-01,2.256499e-01,2.143499e-01
4,154,2.282981e-01,2.273166e-01,2.142686e-01
4,155,2.303322e-01,2.313290e-01,2.174976e-01
4,156,2.287648e-01,2.269171e-01,2.217449e-01
4,157,2.305330e-01,2.336848e-01,2.222810e-01
4,158,2.284562e-01,2.300204e-01,2.103674e-01
4,159,2.286077e-01,2.271918e-01,2.150616e-01
4,160,2.282025e-01,2.242315e-01,2.194642e-01
4,161,2.291855e-01,2.247580e-01,2.116782e-01
4,162,2.280468e-01,2.311654e-01,2.150967e-01
4,163,2.275448e-01,2.249170e-01,2.144295e-01
