p,N,method,err_h1_rel_median,err_h1_rel_p25,err_h1_rel_p75
2,32,positional,1.1298074470e-01,4.3079719976e-02,9.0301292219e-01
2,48,positional,3.6669306764e-02,1.6971550595e-02,1.4462156444e-01
2,64,positional,1.8917345463e-02,9.2483367419e-03,5.2800160551e-02
2,96,positional,7.9718457473e-03,4.0057513762e-03,1.5491304930e-02
2,128,positional,4.4008806822e-03,2.2238075789e-03,7.5177864614e-03
2,256,positional,1.0782232079e-03,5.4997181409e-04,1.7611077470e-03
2,32,uniform,3.0911819390e-01,7.3667945341e-02,1.5489103114e+00
2,48,uniform,7.9319054686e-02,2.6746792603e-02,7.0382097833e-01
2,64,uniform,3.7079982029e-02,1.4145175315e-02,1.5452152719e-01
2,96,uniform,1.4897288171e-02,6.0317390433e-03,4.1172367810e-02
2,128,uniform,8.1532930081e-03,3.3552100647e-03,1.7646383064e-02
2,256,uniform,1.9927788474e-03,8.3114369536e-04,3.4821688004e-03
