epoch,train,val
1,5.027786e-01,5.011905e-01
2,4.966054e-01,4.926091e-01
3,4.876066e-01,4.847244e-01
4,4.793194e-01,4.776486e-01
5,4.715700e-01,4.709427e-01
6,4.653656e-01,4.651638e-01
7,4.590500e-01,4.614942e-01
8,4.556897e-01,4.596339e-01
9,4.535579e-01,4.586341e-01
10,4.523867e-01,4.576132e-01
11,4.519619e-01,4.567394e-01
12,4.517920e-01,4.559179e-01
13,4.507688e-01,4.551542e-01
14,4.499110e-01,4.543474e-01
15,4.498492e-01,4.534818e-01
16,4.486093e-01,4.525020e-01
17,4.477132e-01,4.515655e-01
18,4.472169e-01,4.501881e-01
19,4.458680e-01,4.487854e-01
20,4.449982e-01,4.472037e-01
21,4.440965e-01,4.453787e-01
22,4.425956e-01,4.431877e-01
23,4.406122e-01,4.408319e-01
24,4.389938e-01,4.392184e-01
25,4.371742e-01,4.364053e-01
26,4.353204e-01,4.341593e-01
27,4.331475e-01,4.319012e-01
28,4.314814e-01,4.294399e-01
29,4.295318e-01,4.274305e-01
30,4.273605e-01,4.254125e-01
31,4.264485e-01,4.235567e-01
32,4.241971e-01,4.215105e-01
33,4.227009e-01,4.199274e-01
34,4.207282e-01,4.184212e-01
35,4.203738e-01,4.172169e-01
36,4.190083e-01,4.166346e-01
37,4.177335e-01,4.156551e-01
38,4.174637e-01,4.148009e-01
39,4.163045e-01,4.146038e-01
40,4.166690e-01,4.140148e-01
41,4.160798e-01,4.134251e-01
42,4.157815e-01,4.136173e-01
43,4.155402e-01,4.130533e-01
44,4.154163e-01,4.127973e-01
45,4.150299e-01,4.128663e-01
46,4.151077e-01,4.126616e-01
47,4.147397e-01,4.125728e-01
48,4.146272e-01,4.124842e-01
49,4.143462e-01,4.125256e-01
50,4.146527e-01,4.121480e-01
51,4.145865e-01,4.121047e-01
52,4.143332e-01,4.121085e-01
53,4.146724e-01,4.119965e-01
54,4.142479e-01,4.119945e-01
55,4.140557e-01,4.117820e-01
56,4.138028e-01,4.117527e-01
57,4.144751e-01,4.116454e-01
58,4.137578e-01,4.116653e-01
59,4.138371e-01,4.116504e-01
60,4.138902e-01,4.115833e-01
61,4.141863e-01,4.114955e-01
62,4.135036e-01,4.114480e-01
63,4.143279e-01,4.113333e-01
64,4.134891e-01,4.113815e-01
65,4.140547e-01,4.113172e-01
66,4.141812e-01,4.112821e-01
67,4.140188e-01,4.112046e-01
68,4.134786e-01,4.111759e-01
69,4.130144e-01,4.111118e-01
70,4.137406e-01,4.111897e-01
71,4.130946e-01,4.110530e-01
72,4.136705e-01,4.110651e-01
73,4.135098e-01,4.109756e-01
74,4.130408e-01,4.109087e-01
75,4.136275e-01,4.109927e-01
76,4.133635e-01,4.108726e-01
77,4.129887e-01,4.108316e-01
78,4.132699e-01,4.108047e-01
79,4.131460e-01,4.108132e-01
80,4.135456e-01,4.107892e-01
81,4.136187e-01,4.107594e-01
82,4.134131e-01,4.106916e-01
83,4.133687e-01,4.107430e-01
84,4.130489e-01,4.106764e-01
