# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
1,5.013212e-01,4.995891e-01,1.020981e-01
2,4.973324e-01,4.957422e-01,1.014030e-01
3,4.928678e-01,4.916286e-01,1.007940e-01
4,4.877878e-01,4.874494e-01,1.000319e-01
5,4.828066e-01,4.830094e-01,9.906530e-02
6,4.775708e-01,4.784353e-01,9.803116e-02
7,4.727952e-01,4.742764e-01,9.710847e-02
8,4.686082e-01,4.711426e-01,9.661732e-02
9,4.663376e-01,4.689185e-01,9.618380e-02
10,4.638863e-01,4.669919e-01,9.608472e-02
11,4.628113e-01,4.650874e-01,9.588435e-02
12,4.601297e-01,4.629804e-01,9.584086e-02
13,4.585434e-01,4.607521e-01,9.554143e-02
14,4.552287e-01,4.576258e-01,9.558616e-02
15,4.524136e-01,4.545034e-01,9.539069e-02
16,4.491211e-01,4.515916e-01,9.513443e-02
17,4.465870e-01,4.485639e-01,9.530249e-02
18,4.434032e-01,4.461106e-01,9.562312e-02
19,4.413073e-01,4.443527e-01,9.579906e-02
20,4.401925e-01,4.428407e-01,9.623111e-02
21,4.383238e-01,4.417390e-01,9.678491e-02
22,4.372067e-01,4.406204e-01,9.674732e-02
23,4.360853e-01,4.397793e-01,9.680136e-02
24,4.350766e-01,4.388743e-01,9.677781e-02
25,4.344546e-01,4.378704e-01,9.685161e-02
26,4.345243e-01,4.370401e-01,9.713084e-02
27,4.333338e-01,4.359818e-01,9.706799e-02
28,4.325749e-01,4.351014e-01,9.713023e-02
29,4.320864e-01,4.342056e-01,9.707660e-02
30,4.313143e-01,4.334039e-01,9.703802e-02
31,4.307100e-01,4.325533e-01,9.706702e-02
32,4.300658e-01,4.319674e-01,9.668976e-02
33,4.294523e-01,4.311014e-01,9.693686e-02
34,4.290986e-01,4.305474e-01,9.702900e-02
35,4.288215e-01,4.301092e-01,9.701494e-02
36,4.282969e-01,4.295857e-01,9.677422e-02
37,4.287223e-01,4.290107e-01,9.675781e-02
38,4.280522e-01,4.287135e-01,9.673881e-02
39,4.275839e-01,4.283082e-01,9.692688e-02
40,4.278990e-01,4.279660e-01,9.691507e-02
41,4.277421e-01,4.277913e-01,9.678563e-02
42,4.272013e-01,4.275731e-01,9.659901e-02
43,4.275910e-01,4.273791e-01,9.664986e-02
44,4.268074e-01,4.273828e-01,9.645704e-02
45,4.268146e-01,4.270192e-01,9.663497e-02
46,4.265826e-01,4.269397e-01,9.672421e-02
47,4.264073e-01,4.268047e-01,9.666957e-02
48,4.262712e-01,4.267808e-01,9.675604e-02
49,4.269654e-01,4.266914e-01,9.669560e-02
50,4.261791e-01,4.265975e-01,9.667420e-02
51,4.270962e-01,4.264973e-01,9.693602e-02
52,4.263241e-01,4.264868e-01,9.675780e-02
53,4.265508e-01,4.264244e-01,9.654953e-02
54,4.265419e-01,4.263937e-01,9.666793e-02
55,4.266689e-01,4.262919e-01,9.685682e-02
56,4.265936e-01,4.263213e-01,9.673805e-02
57,4.266264e-01,4.262300e-01,9.665070e-02
58,4.266179e-01,4.262793e-01,9.656014e-02
59,4.267650e-01,4.261838e-01,9.673361e-02
60,4.262042e-01,4.261716e-01,9.671308e-02
61,4.261471e-01,4.262572e-01,9.655070e-02
62,4.263340e-01,4.261892e-01,9.681738e-02
63,4.260147e-01,4.261134e-01,9.671994e-02
64,4.260450e-01,4.261516e-01,9.665969e-02
65,4.260245e-01,4.261631e-01,9.650392e-02
66,4.260434e-01,4.261087e-01,9.662867e-02
67,4.263373e-01,4.261029e-01,9.653179e-02
68,4.263167e-01,4.261055e-01,9.645149e-02
69,4.262792e-01,4.260603e-01,9.650460e-02
70,4.264089e-01,4.261223e-01,9.663498e-02
71,4.265664e-01,4.260408e-01,9.674167e-02
72,4.263230e-01,4.260121e-01,9.667867e-02
73,4.265875e-01,4.259821e-01,9.664162e-02
74,4.260654e-01,4.260430e-01,9.667189e-02
75,4.262407e-01,4.260345e-01,9.661278e-02
76,4.262379e-01,4.259985e-01,9.654246e-02
77,4.261556e-01,4.260453e-01,9.670310e-02
78,4.261590e-01,4.259580e-01,9.677708e-02
79,4.263656e-01,4.260177e-01,9.658974e-02
80,4.260442e-01,4.259796e-01,9.662873e-02
81,4.260458e-01,4.259628e-01,9.661777e-02
82,4.260845e-01,4.260029e-01,9.669992e-02
83,4.263135e-01,4.259410e-01,9.664786e-02
84,4.263009e-01,4.259186e-01,9.664758e-02
85,4.264045e-01,4.259090e-01,9.670105e-02
86,4.263098e-01,4.259393e-01,9.668482e-02
87,4.267854e-01,4.259122e-01,9.666717e-02
88,4.255160e-01,4.258990e-01,9.661027e-02
89,4.889513e-01,4.701480e-01,5.119614e-02
90,4.569160e-01,4.376421e-01,4.981528e-02
91,4.284529e-01,4.180759e-01,4.788510e-02
92,4.100475e-01,4.045556e-01,4.633043e-02
93,3.959629e-01,3.915829e-01,4.509510e-02
94,3.822606e-01,3.790235e-01,4.394664e-02
95,3.691009e-01,3.662395e-01,4.309340e-02
96,3.566419e-01,3.540256e-01,4.196403e-02
97,3.453174e-01,3.435650e-01,4.134191e-02
98,3.368456e-01,3.365321e-01,4.051051e-02
99,3.312464e-01,3.303995e-01,4.008316e-02
100,3.273959e-01,3.276074e-01,3.961832e-02
101,3.248022e-01,3.252676e-01,3.966951e-02
102,3.232406e-01,3.238254e-01,3.931745e-02
103,3.219777e-01,3.228641e-01,3.950407e-02
104,3.210193e-01,3.218690e-01,3.929542e-02
105,3.205882e-01,3.209968e-01,3.925009e-02
106,3.194583e-01,3.203362e-01,3.915437e-02
107,3.187244e-01,3.197323e-01,3.917954e-02
108,3.180137e-01,3.190435e-01,3.911297e-02
109,3.175226e-01,3.185291e-01,3.894150e-02
110,3.166915e-01,3.180472e-01,3.902538e-02
111,3.168493e-01,3.174761e-01,3.883655e-02
112,3.155663e-01,3.170305e-01,3.872437e-02
113,3.156104e-01,3.164863e-01,3.864934e-02
114,3.150021e-01,3.161526e-01,3.849612e-02
115,3.145032e-01,3.156296e-01,3.850147e-02
116,3.140095e-01,3.150342e-01,3.841297e-02
117,3.135870e-01,3.147349e-01,3.845909e-02
118,3.137483e-01,3.143087e-01,3.832548e-02
119,3.131263e-01,3.139665e-01,3.837905e-02
120,3.126250e-01,3.135643e-01,3.810886e-02
121,3.122353e-01,3.132335e-01,3.829194e-02
122,3.119365e-01,3.128022e-01,3.823434e-02
123,3.113410e-01,3.126645e-01,3.802217e-02
124,3.112429e-01,3.122262e-01,3.828002e-02
125,3.108398e-01,3.120189e-01,3.788769e-02
126,3.104270e-01,3.120440e-01,3.800844e-02
127,3.105980e-01,3.113757e-01,3.803128e-02
128,3.099197e-01,3.112665e-01,3.793668e-02
129,3.097026e-01,3.109812e-01,3.792869e-02
130,3.100642e-01,3.107733e-01,3.784554e-02
131,3.098551e-01,3.105299e-01,3.792297e-02
132,3.090914e-01,3.103667e-01,3.781676e-02
133,3.087385e-01,3.100706e-01,3.787209e-02
134,3.089638e-01,3.098975e-01,3.767792e-02
135,3.083888e-01,3.096557e-01,3.775131e-02
136,3.086787e-01,3.095001e-01,3.773442e-02
137,3.084935e-01,3.093760e-01,3.773163e-02
138,3.082975e-01,3.092186e-01,3.780112e-02
139,3.079189e-01,3.090214e-01,3.765399e-02
140,3.080055e-01,3.089236e-01,3.766892e-02
141,3.071545e-01,3.088371e-01,3.779644e-02
142,3.076935e-01,3.086889e-01,3.770248e-02
143,3.073010e-01,3.085303e-01,3.771220e-02
144,3.069541e-01,3.084650e-01,3.752090e-02
145,3.070420e-01,3.081764e-01,3.766417e-02
146,3.071899e-01,3.081543e-01,3.751075e-02
147,3.068397e-01,3.081528e-01,3.752830e-02
148,3.067792e-01,3.079350e-01,3.752887e-02
149,3.063066e-01,3.078010e-01,3.766231e-02
150,3.064150e-01,3.077473e-01,3.758289e-02
151,3.062217e-01,3.076180e-01,3.752345e-02
152,3.062661e-01,3.073780e-01,3.754037e-02
153,3.063160e-01,3.072610e-01,3.744859e-02
154,3.060484e-01,3.072795e-01,3.748974e-02
155,3.062233e-01,3.071568e-01,3.751127e-02
156,3.060152e-01,3.070258e-01,3.746668e-02
157,3.058632e-01,3.069031e-01,3.742664e-02
158,3.050690e-01,3.066945e-01,3.735835e-02
159,3.050894e-01,3.066068e-01,3.747413e-02
160,3.059155e-01,3.065122e-01,3.753311e-02
161,3.053946e-01,3.063916e-01,3.749259e-02
162,3.053604e-01,3.062870e-01,3.740921e-02
163,3.048694e-01,3.062854e-01,3.743797e-02
164,3.051346e-01,3.060728e-01,3.742265e-02
165,3.047873e-01,3.060543e-01,3.729466e-02
166,3.052290e-01,3.058955e-01,3.748283e-02
167,3.049374e-01,3.058121e-01,3.738888e-02
168,3.042398e-01,3.058103e-01,3.746538e-02
169,3.050248e-01,3.056185e-01,3.741137e-02
170,3.047720e-01,3.055593e-01,3.742849e-02
171,3.043441e-01,3.054421e-01,3.745650e-02
172,3.043591e-01,3.053794e-01,3.738820e-02
173,3.041077e-01,3.053184e-01,3.725476e-02
174,3.041017e-01,3.051412e-01,3.728850e-02
175,3.040450e-01,3.050368e-01,3.725283e-02
176,3.045088e-01,3.050043e-01,3.732215e-02
177,3.038848e-01,3.049934e-01,3.724877e-02
178,3.036293e-01,3.048482e-01,3.735179e-02
