# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u* (H1-seminorm, q=20)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
4,1,4.844576e-01,4.461314e-01,8.569622e-01
4,2,4.042056e-01,3.685797e-01,6.908267e-01
4,3,2.746247e-01,1.837236e-01,1.318766e-01
4,4,1.196007e-01,8.266432e-02,8.771872e-02
4,5,6.943898e-02,6.038523e-02,7.820125e-02
4,6,5.583322e-02,5.647992e-02,1.006989e-01
4,7,4.972412e-02,4.934280e-02,7.819682e-02
4,8,4.575033e-02,4.726496e-02,8.389129e-02
4,9,4.295077e-02,4.360991e-02,7.180793e-02
4,10,3.971220e-02,3.998922e-02,5.683627e-02
4,11,3.799561e-02,3.781011e-02,5.142961e-02
4,12,3.599376e-02,3.596222e-02,5.041095e-02
4,13,3.452595e-02,3.493101e-02,5.070658e-02
4,14,3.375048e-02,3.409334e-02,5.087370e-02
4,15,3.310775e-02,3.359668e-02,4.930444e-02
4,16,3.250519e-02,3.341039e-02,5.113354e-02
4,17,3.247523e-02,3.324684e-02,5.147166e-02
4,18,3.232327e-02,3.285741e-02,4.696224e-02
4,19,3.197902e-02,3.280914e-02,4.627629e-02
4,20,3.240743e-02,3.286839e-02,4.503658e-02
4,21,3.174029e-02,3.259275e-02,4.656120e-02
4,22,3.165319e-02,3.244016e-02,4.723470e-02
4,23,3.143166e-02,3.240281e-02,4.628622e-02
4,24,3.165028e-02,3.232779e-02,4.934187e-02
4,25,3.172784e-02,3.230879e-02,4.966977e-02
4,26,3.123956e-02,3.252556e-02,4.490211e-02
4,27,3.142788e-02,3.222408e-02,4.792984e-02
4,28,3.127888e-02,3.223578e-02,4.975702e-02
4,29,3.160210e-02,3.218349e-02,4.716981e-02
4,30,3.134957e-02,3.230047e-02,5.079900e-02
4,31,3.109673e-02,3.218516e-02,4.651364e-02
4,32,3.121966e-02,3.241384e-02,5.261644e-02
4,33,3.136495e-02,3.212764e-02,4.679883e-02
4,34,3.127022e-02,3.209943e-02,4.901622e-02
